partial,f,sigma,r2
1,34.9915,0.209284,0.926944
2,68.6371,0.19392,0.894755
3,103.629,0.16055,0.831986
4,137.274,0.155002,0.814832
5,172.266,0.165028,0.846414
7,240.903,0.174698,0.80947
8,275.894,0.160869,0.82629
9,310.886,0.131415,0.696918
10,345.877,0.114085,0.537233
11,380.869,0.154767,0.701103
13,450.851,0.183124,0.873684
14,499.301,4.77969,0.99961
15,520.834,0.21608,0.9301
16,557.172,0.13311,0.654438
17,592.163,0.190768,0.865686
18,627.155,0.23827,0.889815
19,663.492,0.223524,0.877617
20,699.829,0.232046,0.808136
21,736.166,0.177403,0.831904
22,772.504,0.211896,0.905589
23,808.841,0.222841,0.933672
24,845.178,0.258521,0.930146
25,881.516,0.245681,0.927107
26,919.199,0.317896,0.978407
27,956.882,0.328227,0.962116
28,998.602,0.473842,0.950343
29,1033.59,0.32987,0.971192
30,1072.62,0.336335,0.973937
35,1297.38,0.480257,0.99378
36,1337.75,0.469736,0.988685
37,1379.47,0.499166,0.999057
38,1421.19,0.51964,0.991477
39,1461.57,0.532028,0.991181
40,1499.25,0.546147,0.956086
41,1543.66,0.586045,0.979572
42,1584.04,0.698994,0.929558
43,1625.76,0.637466,0.976365
44,1668.82,0.641897,0.998474
45,1710.54,0.717111,0.976133
46,1753.61,0.726736,0.984173
47,1796.68,0.769841,0.996544
48,1838.4,0.850885,0.992035
49,1882.81,0.841368,0.995305
50,1927.22,0.912601,0.999793
51,1971.63,0.935037,0.996901
59,2387.49,1.0591,0.974019
60,2434.6,1.19077,0.999906
61,2483.05,1.13737,0.985757
62,2531.5,1.18129,0.967089
63,2581.29,1.47778,0.996916
64,2631.09,1.2244,0.957257
67,2784.51,1.50973,0.997235
75,3262.28,2.30469,0.972129
76,3318.8,3.25448,0.935155
77,3372.64,3.17638,0.956102
78,3430.51,2.82297,0.944528
79,3496.45,4.51963,0.960397
80,3544.9,2.93115,0.951774
81,3601.43,2.84751,0.930673
82,3661.99,2.81582,0.913512
87,3995.75,5.70682,0.941315
90,4208.4,5.09854,0.946972
92,4336.25,4.91089,0.89685
93,4399.5,4.82037,0.964616
94,4464.1,5.60806,0.920832
96,4597.34,5.41097,0.894323
