partial,f,sigma,r2
1,117.087,0.247556,0.880506
2,232.828,0.200061,0.584769
3,349.915,0.316165,0.739098
4,465.656,0.256619,0.740551
5,582.742,0.22354,0.662877
6,699.829,0.182911,0.67629
7,816.916,0.249692,0.864702
8,934.003,0.225621,0.793283
9,1052.44,0.289258,0.888235
10,1169.52,0.398081,0.918497
11,1289.3,0.310798,0.768045
12,1411.77,0.414771,0.96286
20,2457.48,1.04951,0.899977
24,2995.81,0.906568,0.916556
25,3123.66,0.842277,0.948303
26,3289.2,2.31175,0.831581
27,3410.32,2.2717,0.886823
28,3559.71,0.698183,0.557418
31,4038.82,1.51959,0.858873
32,4172.06,1.26678,0.864939
37,5001.09,1.86907,0.93071
42,5874.53,2.49387,0.933701
46,6638.96,4.24706,0.916727
