partial,f,sigma,r2
1,45.7581,0.258085,0.956376
2,91.5161,0.272667,0.935185
3,138.62,0.252902,0.947467
4,184.378,0.263795,0.841856
5,230.136,0.233819,0.849564
6,277.24,0.294016,0.889977
9,415.86,0.201599,0.869363
10,461.618,0.20903,0.696409
11,508.722,0.170777,0.764995
12,555.826,0.261157,0.793556
13,601.584,0.219225,0.6922
14,648.688,0.262372,0.754114
16,742.896,0.179212,0.611715
17,789.999,0.18028,0.590806
18,837.103,0.259132,0.841504
19,885.553,0.256203,0.759452
20,932.657,0.303315,0.887647
21,981.107,0.381271,0.903263
22,1029.56,0.183725,0.616861
23,1079.35,0.290409,0.842917
25,1204.51,1.14361,0.842049
26,1250.27,0.824476,0.870292
27,1297.38,0.764323,0.910651
28,1344.48,0.659899,0.89613
33,1619.03,0.601806,0.927718
34,1670.17,0.588558,0.920591
35,1722.66,0.556615,0.913329
36,1773.8,0.566154,0.938157
37,1824.94,0.515238,0.978936
38,1877.43,0.542495,0.949664
39,1929.91,0.554619,0.953184
40,1982.4,0.623637,0.951223
41,2056.42,0.755751,0.955187
42,2104.87,0.818866,0.958101
47,2414.41,0.866855,0.959043
48,2469.59,0.683901,0.912107
49,2526.11,0.881111,0.966807
50,2581.29,0.942972,0.982013
51,2639.16,0.897757,0.961475
52,2697.03,0.960784,0.954575
57,3048.29,1.20585,0.969671
58,3108.86,1.21695,0.987281
59,3166.73,1.26149,0.969593
60,3229.98,1.09182,0.955667
61,3290.54,1.18848,0.97465
63,3442.62,1.93502,0.922024
65,3598.74,1.96011,0.916459
66,3664.68,1.40751,0.93867
67,3729.28,2.38762,0.953939
68,3793.88,1.83012,0.974078
69,3863.86,2.3793,0.919009
70,3943.27,1.9324,0.986039
73,4193.59,2.23906,0.916986
74,4260.88,3.20689,0.926434
76,4399.5,2.67671,0.923426
77,4497.75,3.55161,0.926897
80,4753.45,3.97016,0.918543
81,4824.78,3.8173,0.956756
82,4898.8,4.17995,0.950444
83,4979.55,4.48382,0.941098
86,5256.79,4.41655,0.948458
87,5346.96,4.87142,0.953621
88,5425.02,4.09671,0.906913
89,5511.15,1.80155,0.668827
90,5589.21,3.35188,0.836025
