partial,f,sigma,r2
1,87.4786,0.246383,0.815372
2,174.957,0.261132,0.771938
3,261.09,0.217819,0.794332
4,348.569,0.307408,0.67838
5,436.047,0.190017,0.689019
7,611.005,0.198206,0.767695
8,698.483,0.148516,0.55415
9,787.308,0.264604,0.837539
10,874.786,0.207326,0.621833
11,962.265,0.267774,0.81339
12,1051.09,0.317321,0.806332
13,1139.91,0.266081,0.801618
14,1228.74,0.238235,0.712545
15,1317.56,0.28677,0.851148
16,1407.73,0.431243,0.890322
17,1496.56,0.408813,0.870881
18,1586.73,0.349168,0.924658
19,1678.24,0.382488,0.891053
20,1768.41,0.590444,0.90733
21,1861.28,0.352597,0.870439
36,3353.8,1.26567,0.958191
37,3443.97,0.452834,0.428689
40,3773.69,1.76829,0.879654
41,3874.63,1.29081,0.850502
42,3979.6,1.33051,0.859735
43,4083.23,1.40004,0.930457
44,4184.17,1.19921,0.898749
45,4293.18,1.26921,0.948075
55,5490.97,3.06763,0.88679
56,5604.02,3.0867,0.914617
58,5839.54,3.09796,0.8674
66,6918.89,2.02804,0.740786
67,7050.78,1.96396,0.683228
68,7173.25,4.99982,0.910703
