partial,f,sigma,r2
1,30.954,0.23323,0.971001
2,61.908,0.221695,0.9409
3,91.5161,0.180996,0.883643
4,122.47,0.16357,0.762788
5,153.424,0.149818,0.804358
6,184.378,0.139692,0.63509
10,308.194,0.100162,0.507855
11,339.148,0.124788,0.671507
12,371.448,0.116453,0.525903
13,402.402,0.143546,0.645193
14,433.356,0.143212,0.705896
15,465.656,0.161651,0.636005
16,497.955,0.15923,0.813941
17,528.909,0.195116,0.872737
18,561.209,0.178985,0.834076
19,593.509,0.209361,0.871303
20,625.809,0.196325,0.876104
21,659.454,0.201264,0.854958
22,693.1,0.216583,0.841583
23,725.4,0.221544,0.879236
24,772.504,0.602774,0.999989
25,804.803,0.644594,0.999945
26,826.337,0.253678,0.950613
27,861.328,0.266188,0.919264
28,894.974,0.276386,0.940311
29,929.965,0.319977,0.951365
30,964.957,0.385462,0.995447
31,999.948,0.423669,0.955054
32,1034.94,0.360198,0.992718
33,1071.28,0.400679,0.966456
34,1108.96,0.43503,0.994621
35,1143.95,0.478308,0.990582
36,1181.63,0.551912,0.964391
37,1217.97,0.518793,0.976438
38,1255.65,0.611312,0.988157
39,1293.34,0.55682,0.975056
40,1331.02,0.620517,0.980959
41,1370.05,0.663493,0.989769
42,1410.42,0.643693,0.9884
43,1449.45,0.682998,0.985176
44,1488.48,0.679445,0.969645
45,1528.86,0.778099,0.940054
46,1569.23,0.825834,0.982094
47,1608.26,0.848304,0.998351
48,1651.33,0.820126,0.984899
49,1693.05,0.860246,0.999139
50,1734.77,0.96971,0.988468
51,1776.49,1.02895,0.979258
52,1820.9,1.15732,0.963108
53,1863.97,1.12142,0.923577
54,1907.03,1.24262,0.97423
55,1950.1,1.30871,0.999062
57,2036.23,1.28102,0.99807
64,2345.77,3.99212,0.999756
69,2588.02,1.45424,0.997348
71,2674.15,2.01882,0.994838
72,2726.64,1.871,0.994025
73,2777.78,2.06418,0.983968
74,2831.62,2.16796,0.998405
75,2884.1,2.6918,0.998124
76,2936.59,2.07272,0.987335
77,2994.46,2.6894,0.982499
78,3046.95,2.74538,0.975187
79,3102.13,2.83626,0.983108
80,3161.34,3.43417,0.982641
81,3217.87,3.24191,0.94378
82,3283.81,2.84106,0.992821
83,3332.26,4.6258,0.923359
84,3388.79,3.63811,0.871605
85,3450.7,4.16332,0.935606
86,3508.57,3.83206,0.902435
87,3571.82,3.86151,0.963274
88,3631.04,5.24357,0.948191
89,3688.91,5.2418,0.935236
90,3750.81,4.96417,0.949627
92,3859.83,4.82088,0.945847
93,3905.58,4.65305,0.921768
94,3993.06,5.07698,0.925348
