partial,f,sigma,r2
1,55.1788,0.221565,0.754279
2,110.358,0.262544,0.928106
3,164.191,0.193799,0.683791
4,219.37,0.212351,0.877598
5,274.548,0.249168,0.744297
6,329.727,0.203971,0.702266
7,384.906,0.300337,0.819165
8,440.085,0.138234,0.541316
9,495.264,0.128994,0.506731
10,550.443,0.217305,0.774042
11,605.621,0.212042,0.801197
12,660.8,0.236756,0.777358
13,715.979,0.284855,0.811409
14,771.158,0.226224,0.804642
15,827.682,0.191961,0.651965
16,882.861,0.234088,0.715456
17,938.04,0.262233,0.784313
18,994.565,0.316809,0.910967
19,1051.09,0.211943,0.805935
20,1110.31,0.297233,0.861127
21,1168.18,0.277901,0.817931
26,1487.14,0.84816,0.967304
27,1543.66,0.645891,0.952717
28,1598.84,0.66745,0.965626
30,1734.77,0.495598,0.957469
31,1796.68,0.494446,0.97292
32,1855.89,0.493363,0.97293
33,1913.76,0.532702,0.970329
34,1974.33,0.442044,0.981781
35,2036.23,0.494388,0.982998
36,2096.8,0.558971,0.99986
37,2157.36,0.505681,0.985572
40,2383.46,0.649662,0.984926
41,2441.33,0.629484,0.991063
42,2519.38,0.690553,0.943635
43,2582.64,0.733721,0.984464
44,2651.28,0.760305,0.957451
45,2714.53,0.741844,0.997357
46,2771.05,0.908011,0.987534
47,2842.38,0.900491,0.932126
49,3011.96,2.37275,0.93996
50,3069.83,1.45974,0.889669
51,3157.31,1.2476,0.91596
52,3232.67,1.57872,0.915216
53,3301.31,1.89875,0.945917
54,3364.56,0.957298,0.963036
57,3598.74,1.2647,0.98123
58,3692.94,1.92639,0.928253
59,3760.24,1.30407,0.940618
60,3847.71,1.81754,0.913642
61,3917.7,1.34148,0.958826
63,4110.15,2.40631,0.877403
64,4181.48,2.65231,0.88043
65,4254.15,2.58053,0.897153
66,4348.36,2.53564,0.888456
67,4422.38,1.92304,0.974724
69,4618.87,2.79539,0.94117
70,4692.89,2.94129,0.943689
71,4797.87,2.93703,0.932154
72,4874.58,2.08389,0.96824
74,5073.76,3.11792,0.882561
75,5150.47,3.50826,0.944427
76,5264.87,2.9403,0.883821
77,5345.62,3.42193,0.914106
78,5426.37,3.15548,0.89593
79,5544.8,3.71522,0.889955
80,5625.55,3.00658,0.917471
81,5749.37,2.84289,0.945874
82,5835.5,3.59102,0.91263
83,5918.94,4.15368,0.958581
84,6037.37,4.5291,0.930047
85,6120.81,4.5134,0.942141
87,6345.57,4.70311,0.927451
88,6433.04,4.64057,0.936349
89,6546.09,3.34829,0.830126
92,6875.82,4.70688,0.825058
93,6987.52,8.0705,0.909808
