partial,f,sigma,r2
1,110.358,0.308035,0.902035
2,219.37,0.258283,0.792478
4,440.085,0.215965,0.658639
5,550.443,0.250859,0.779461
6,660.8,0.174607,0.777433
7,771.158,0.216772,0.735127
8,881.516,0.195168,0.637315
9,991.873,0.274056,0.825694
10,1103.58,0.262484,0.782122
11,1216.63,0.288083,0.784332
12,1331.02,0.385158,0.903659
23,2702.42,0.68253,0.969112
26,3102.13,3.45061,0.89395
27,3216.52,3.61997,0.849071
28,3382.06,3.86242,0.932674
30,3666.03,1.0516,0.959328
31,3793.88,1.1216,0.877239
36,4559.66,1.53066,0.862015
41,5360.42,2.16958,0.914457
48,6642.99,3.08456,0.870162
52,7393.96,4.42182,0.912688
55,8027.85,5.55455,0.903598
