partial,f,sigma,r2
1,98.2452,0.39571,0.922973
2,196.49,0.209036,0.642592
4,391.635,0.255292,0.702286
5,489.88,0.2394,0.760779
6,588.126,0.164936,0.593897
7,686.371,0.252577,0.852587
8,784.616,0.189417,0.684905
9,884.207,0.237664,0.76245
10,982.452,0.288306,0.771831
11,1082.04,0.239368,0.783694
12,1181.63,0.28897,0.737349
13,1279.88,0.282704,0.86455
14,1380.82,0.34809,0.860925
15,1481.75,0.400427,0.930001
16,1582.69,0.449892,0.95757
17,1683.63,0.402631,0.934457
18,1784.56,0.410406,0.901595
19,1886.85,0.444543,0.911446
20,1989.13,0.406029,0.898497
21,2091.41,0.568453,0.955184
22,2195.04,0.541198,0.923344
23,2300.02,0.595447,0.939072
24,2404.99,0.661582,0.97287
30,3083.29,2.61495,0.966253
43,4595.99,1.28256,0.738397
49,5359.08,2.96205,0.909598
50,5486.93,2.83039,0.852424
51,5613.44,2.44852,0.860018
52,5743.98,2.23455,0.898778
53,5871.84,2.41161,0.885862
54,5998.34,3.87252,0.889274
