partial,f,sigma,r2
1,138.62,0.280241,0.589615
2,277.24,0.364964,0.821473
4,554.48,0.265679,0.694505
5,693.1,0.234522,0.661494
6,833.066,0.312951,0.780929
7,973.032,0.378146,0.916642
8,1111.65,0.304731,0.826947
9,1252.96,0.335869,0.823815
10,1392.93,0.373075,0.925597
11,1535.59,0.37375,0.869088
12,1680.94,0.425978,0.83249
21,3069.83,1.66224,0.873072
26,3910.97,0.996978,0.947155
27,4071.12,1.17182,0.905815
28,4228.58,1.13014,0.947965
35,5559.6,2.48226,0.949943
36,5733.22,2.25012,0.940075
42,7005.02,3.67867,0.897033
43,7190.74,5.06181,0.864222
49,8571.56,7.70205,0.945159
