partial,f,sigma,r2
1,65.9454,0.260106,0.895005
2,130.545,0.260762,0.91349
3,196.49,0.19355,0.873483
4,261.09,0.299453,0.866191
5,327.036,0.202906,0.795472
6,391.635,0.204512,0.808856
7,457.581,0.231761,0.822517
8,523.526,0.220892,0.576647
9,588.126,0.14467,0.523525
10,654.071,0.172695,0.585384
11,720.016,0.29417,0.927747
12,785.962,0.201529,0.719527
13,851.907,0.162859,0.696402
14,917.853,0.217818,0.807383
15,985.144,0.216358,0.767005
16,1051.09,0.301723,0.807062
17,1117.03,0.222752,0.738289
18,1184.33,0.266385,0.817893
19,1252.96,0.265633,0.758333
20,1321.6,0.318303,0.785429
33,2283.87,0.462981,0.93435
34,2356.54,0.505524,0.951667
35,2426.52,0.54835,0.954664
36,2499.2,0.566033,0.966265
37,2570.53,0.56491,0.944495
38,2645.89,0.630477,0.916418
45,3236.71,0.697572,0.963474
46,3313.42,0.99401,0.8267
50,3659.3,0.718264,0.532442
53,3936.54,1.72285,0.86382
54,4005.18,1.82681,0.900382
55,4100.73,1.3795,0.821229
56,4182.82,1.00424,0.931153
58,4392.77,1.56337,0.943544
60,4591.96,1.86942,0.915549
61,4679.43,1.83789,0.8996
62,4764.22,2.02695,0.918674
67,5270.25,1.56087,0.939343
68,5373.88,2.8834,0.911807
69,5468.09,3.32068,0.910691
73,5917.59,3.84497,0.938856
79,6589.16,2.89606,0.836414
80,6692.79,3.41149,0.847287
85,7282.26,3.11253,0.77635
90,7906.72,4.36297,0.809356
