partial,f,sigma,r2
1,43.0664,0.246612,0.820976
2,87.4786,0.203415,0.874642
3,130.545,0.266756,0.960013
4,173.611,0.286098,0.94674
5,218.024,0.229344,0.785112
6,261.09,0.247809,0.953466
7,305.502,0.198602,0.632584
9,392.981,0.17358,0.657399
10,436.047,0.14652,0.540035
11,480.46,0.254001,0.848679
12,524.872,0.151528,0.521839
13,567.938,0.241405,0.819605
14,612.35,0.241248,0.874562
15,656.763,0.309632,0.824233
16,701.175,0.262807,0.85339
17,745.587,0.234046,0.640749
18,791.345,0.16706,0.714192
19,835.757,0.201629,0.73872
20,881.516,0.223169,0.821345
21,925.928,0.340885,0.88978
22,971.686,0.390469,0.86242
23,1018.79,0.376036,0.91113
24,1065.89,0.311136,0.818446
25,1135.88,0.80766,0.91317
26,1180.29,1.31916,0.908707
27,1224.7,1.0276,0.873238
28,1269.11,0.913103,0.868341
29,1313.53,0.983805,0.95088
34,1580,0.672943,0.95752
35,1628.45,0.650361,0.926946
36,1676.9,0.573746,0.953561
37,1726.69,0.598121,0.956787
38,1776.49,0.514051,0.968897
39,1826.28,0.671862,0.943543
40,1882.81,1.28106,0.999928
41,1925.88,0.62512,0.968684
42,1977.02,0.697299,0.976411
43,2030.85,0.622293,0.98966
49,2395.57,0.880565,0.99858
50,2449.4,0.827888,0.941883
51,2503.23,0.952456,0.978677
52,2558.41,0.945015,0.94122
53,2613.59,1.02317,0.863663
54,2667.43,1.06158,0.964846
60,3067.14,1.33777,0.959151
61,3126.35,1.37279,0.984058
62,3188.26,1.6833,0.888746
63,3244.78,1.88095,0.952015
64,3308.04,1.26217,0.887001
65,3371.29,1.90786,0.953188
66,3453.39,1.50805,0.887202
69,3672.76,1.83481,0.952051
70,3742.74,1.67858,0.958234
71,3803.3,2.36841,0.909087
72,3870.59,2.49029,0.961107
73,3932.5,2.71634,0.914638
74,4003.83,2.91388,0.938568
75,4107.46,1.97837,0.844062
76,4159.95,1.74394,0.817506
78,4330.87,2.83279,0.968431
79,4388.74,2.1013,0.983866
80,4469.49,3.79039,0.925073
81,4538.12,4.29351,0.964021
82,4614.83,3.94971,0.849382
86,4966.09,4.29881,0.979652
87,5019.93,3.90974,0.921018
88,5120.86,5.34245,0.930731
89,5188.16,5.60357,0.970607
94,5647.08,3.52864,0.936148
