partial,f,sigma,r2
1,207.257,0.281022,0.572735
2,415.86,0.28043,0.725052
3,623.117,0.278744,0.857279
4,831.72,0.352866,0.842939
5,1040.32,0.34472,0.808278
6,1250.27,0.367912,0.839368
7,1461.57,0.478808,0.869355
8,1674.21,0.53934,0.964509
9,1886.85,0.554189,0.939253
10,2100.83,0.577483,0.910591
11,2317.51,0.652291,0.92832
12,2535.53,0.902241,0.984574
13,2756.25,0.957239,0.955106
14,2976.97,0.927212,0.952767
15,3201.72,1.01506,0.972276
16,3427.82,1.38116,0.950022
17,3657.95,1.27254,0.890571
18,3889.43,1.46502,0.969116
19,4122.26,1.46349,0.953523
20,4360.47,1.88093,0.967236
21,4602.72,2.65312,0.973998
22,4844.97,2.079,0.944054
23,5092.6,2.16923,0.974833
24,5338.89,2.34976,0.947229
25,5595.94,3.95752,0.926472
26,5852.99,3.09983,0.918181
27,6110.05,4.1599,0.933026
28,6375.17,3.35149,0.914211
30,6912.16,5.86375,0.950478
