schema_version,source_dataset,velocity,analysis_window,window_start_s,window_end_s,midi,note,f0_hz,inharmonicity_B,partial_index,partial_frequency_hz,energy_rel_peak_db,energy_rel_fund_db,energy_ratio_to_fund,amplitude_ratio_to_fund,contrast_db,group_partial_count,group_max_partial_index,group_max_partial_frequency_hz,measurement_status
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,1,26.91650390625,-34.5833006384186,0,1,1,37.8849533229515,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,2,54.5059204101563,-12.9421523435592,21.6411482948594,145.920002856479,12.0797352146676,57.3131005961458,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,3,82.0953369140625,-0.249991607429151,34.3333090309894,2712.25740198133,52.0793375724128,66.4819467655625,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,4,109.011840820313,0,34.5833006384186,2872.96320479411,53.6000298954591,63.1150034073596,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,5,136.601257324219,-5.11589075329818,29.4674098851204,884.587887810771,29.7420222548967,63.3638537822119,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,6,164.190673828125,-11.0682473605514,23.5150532778672,224.649433510155,14.9883098950534,59.9220830473185,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,7,191.780090332031,-10.8055705347915,23.7777301036271,238.656358850209,15.4485066867387,61.4355903060414,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,8,218.696594238281,-30.7708880012661,3.81241263715247,2.40569886731488,1.55103154942602,47.1377987804145,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,9,246.958923339844,-14.5827592014753,20.0005414369433,100.012467823513,10.000623371746,62.180892674693,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,10,274.54833984375,-16.3597824018074,18.2235182366112,66.428098911904,8.15034348428973,60.100734983922,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,11,302.810668945313,-11.830050378426,22.7532502599926,188.505934015741,13.7297463201525,61.7033703999431,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,12,330.400085449219,-3.10174073588669,31.4815599025319,1406.55264015753,37.504034985019,63.3628999938668,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,13,358.662414550781,-13.7870476455018,20.7962529929167,120.122759193754,10.9600528827992,59.7294700977219,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,14,386.924743652344,-13.2786455660692,21.3046550723494,135.040957065566,11.6207124164384,62.8360187859439,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,15,415.187072753906,-10.6527068202147,23.9305938182039,247.206213115281,15.7227927899366,66.9349954324581,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,16,443.449401855469,-26.9051342319724,7.67816640644619,5.85890748910314,2.42051802081768,49.1447747452751,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,17,473.057556152344,-41.522630132871,-6.9393294944524,0.202333153592771,0.449814576901162,30.0692496962362,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,18,501.992797851563,-18.0224921610864,16.5608084773322,45.2981898615054,6.73039299458103,52.6291791827908,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,19,531.600952148438,-16.7986699992502,17.7846306391684,60.0430941000391,7.74874790530954,57.4993249491662,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,20,561.882019042969,-25.381429485115,9.20187115330358,8.32122212878617,2.88465286105385,24.8526332965028,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,31,931.983947753906,-29.3594988700032,5.22380176841537,3.32950887480199,1.82469418665211,322.664698904021,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,32,964.283752441406,-50.0051847874899,-15.4218841490714,0.0286953538881054,0.169397030340279,301.628172708366,38,48,1606.91528320313,measured
1.0,Pianoteq 9 SingleNoteSamples,50,body,0.2,1.2,21,A0,27.024169921875,0.000232632754494776,33,997.929382324219,-34.0921311262523,0.491169512166294,1.11973937763098,1.05817738476636,318.051100218131,38,48,1606.91528320313,measured
