partial,f,sigma,r2,fittedFrameCount
1,370.102,1.37656,0.984131,359
2,740.204,0.676901,0.903215,664
3,1111.65,0.417571,0.785344,815
4,1485.79,0.606126,0.839314,655
5,1862.62,0.476713,0.695033,751
6,2243.49,0.370791,0.648911,642
7,2627.05,0.597411,0.910858,639
8,3015.99,0.612576,0.89804,851
10,3410.32,0.846061,0.913536,686
11,4217.82,1.29837,0.958415,514
13,4630.98,1.83829,0.968744,352
14,5052.23,2.451,0.937322,245
16,5481.55,2.62805,0.935102,245
17,7298.41,5.0953,0.916527,133
21,7776.18,8.86879,0.929567,120
22,8267.4,9.26748,0.944489,123
24,9282.16,9.79933,0.904094,117
26,9808.37,4.26688,0.661541,191
