partial,f,sigma,r2,fittedFrameCount
1,196.49,0.293921,0.938507,1011
2,391.635,0.243257,0.823,1011
4,784.616,0.277952,0.713249,1009
5,982.452,0.363275,0.910167,1004
6,1180.29,0.37796,0.870455,1007
7,1378.12,0.337205,0.830197,998
8,1577.31,0.380751,0.881714,948
9,1779.18,0.439345,0.930151,1001
10,1982.4,0.504927,0.968989,930
11,2184.27,0.577819,0.896152,705
12,2388.84,0.641358,0.957198,845
13,2594.75,0.897345,0.951016,656
14,2803.35,0.898776,0.948067,589
15,3011.96,1.00253,0.969027,694
18,3873.28,1.57526,0.842381,377
22,5002.43,2.10182,0.934194,289
28,5477.51,3.58157,0.926461,264
30,5715.72,4.15093,0.881586,250
31,6459.96,3.96133,0.877382,282
35,6714.32,3.94047,0.853122,287
