partial,f,sigma,r2
1,39.0289,0.185587,0.847447
2,78.0579,0.17034,0.831721
3,115.741,0.158926,0.807989
4,154.77,0.121551,0.679571
5,193.799,0.159963,0.821527
6,232.828,0.177548,0.837392
7,271.857,0.165984,0.817993
8,310.886,0.103535,0.574563
9,349.915,0.141699,0.692618
10,388.943,0.180603,0.84178
11,427.972,0.142183,0.737856
12,467.001,0.221109,0.910638
13,506.03,0.176006,0.841753
14,545.059,0.193383,0.879065
15,585.434,0.229679,0.941754
16,624.463,0.176894,0.777517
17,664.838,0.186515,0.777576
18,703.867,0.193563,0.87545
19,744.241,0.202202,0.918337
20,784.616,0.233531,0.909415
21,824.991,0.215033,0.826413
22,865.366,0.229981,0.888274
23,907.086,0.301572,0.981439
24,947.461,0.262019,0.906061
25,990.527,0.308911,0.950535
26,1032.25,0.343089,0.960626
27,1099.54,2.63261,0.970384
28,1118.38,0.354058,0.988401
35,1454.84,0.519448,0.97529
36,1499.25,0.511847,0.96491
37,1545.01,0.572182,0.974272
38,1588.07,0.551127,0.983275
39,1633.83,0.668726,0.977677
40,1678.24,0.628804,0.989199
41,1724,0.669165,0.999482
42,1769.76,0.732129,0.987035
43,1816.86,0.779102,0.99452
44,1862.62,0.802881,0.982936
45,1909.73,0.828723,0.952256
53,2345.77,1.01099,0.984535
54,2396.91,1.20839,0.998489
59,2653.97,1.12852,0.963223
66,3088.67,2.86443,0.922862
68,3201.72,1.73453,0.894649
71,3376.68,2.8647,0.896184
