partial,f,sigma,r2
1,207.257,0.313489,0.677129
2,415.86,0.222967,0.750773
3,623.117,0.285053,0.777336
4,831.72,0.356957,0.800841
5,1040.32,0.354532,0.877415
6,1250.27,0.349484,0.788368
7,1461.57,0.474011,0.886585
8,1674.21,0.477068,0.964738
9,1886.85,0.483305,0.948469
10,2100.83,0.543479,0.929013
12,2535.53,0.857901,0.989698
13,2756.25,0.833026,0.961926
14,2976.97,0.860433,0.927827
15,3201.72,1.03525,0.950168
16,3427.82,1.49221,0.920839
17,3657.95,0.52832,0.427854
18,3889.43,1.77772,0.893964
19,4122.26,1.5438,0.793765
20,4360.47,2.68347,0.853929
22,4844.97,3.67653,0.832364
23,5091.26,2.42333,0.885976
