partial,f,sigma,r2
1,40.3748,0.194775,0.904946
2,82.0953,0.165764,0.824192
3,122.47,0.17017,0.825796
4,164.191,0.203103,0.939019
6,246.286,0.144444,0.76534
7,288.007,0.12974,0.579308
8,328.381,0.150186,0.758439
9,370.102,0.164504,0.846279
10,411.823,0.126763,0.500931
11,453.543,0.122544,0.597171
12,495.264,0.158761,0.785468
13,536.984,0.196,0.860713
14,578.705,0.188563,0.810798
15,620.425,0.20378,0.85548
16,662.146,0.175167,0.701383
17,705.212,0.184153,0.888645
18,746.933,0.186935,0.843235
19,789.999,0.248386,0.953107
20,831.72,0.232223,0.889612
21,874.786,0.250648,0.916737
22,917.853,0.282879,0.960187
23,960.919,0.284807,0.939679
24,1005.33,0.304606,0.912638
25,1049.74,0.31424,0.979976
26,1094.16,0.311651,0.939928
27,1154.72,1.54224,0.993166
37,1637.87,0.644715,0.939573
38,1687.66,0.763039,0.987338
39,1733.42,0.673002,0.873822
40,1783.22,0.693772,0.972848
41,1831.67,0.693216,0.950354
42,1880.12,0.854547,0.999271
43,1928.57,0.780137,0.96719
44,1978.36,0.795915,0.999957
45,2028.16,0.817171,0.993621
46,2079.3,0.873158,0.989663
50,2310.78,2.77949,0.983419
60,2888.14,2.49466,0.967574
62,2994.46,1.71,0.92042
69,3465.5,2.59352,0.947894
71,3596.04,2.44281,0.896396
