partial,f,sigma,r2
1,196.49,0.306173,0.943904
2,391.635,0.212428,0.774923
4,784.616,0.27621,0.713192
5,982.452,0.360827,0.912707
6,1180.29,0.365214,0.860048
7,1378.12,0.310194,0.813272
8,1577.31,0.369239,0.884115
9,1779.18,0.419248,0.937893
10,1982.4,0.497021,0.97154
11,2184.27,0.572979,0.886391
12,2388.84,0.614503,0.958571
13,2594.75,0.841427,0.948646
14,2803.35,0.918706,0.963681
15,3011.96,0.995931,0.947295
16,3225.94,1.00602,0.924717
17,3439.93,0.58994,0.385957
18,3655.26,1.66349,0.831704
19,3873.28,1.93541,0.851258
20,4096.69,1.56907,0.796703
