partial,f,sigma,r2
1,68.6371,0.196565,0.723929
4,277.24,0.277741,0.812347
5,345.877,0.196223,0.809374
7,484.497,0.226724,0.900987
8,554.48,0.205346,0.74303
9,624.463,0.189717,0.585254
10,693.1,0.223018,0.883209
11,763.083,0.177757,0.760788
12,833.066,0.200836,0.726275
13,903.049,0.194021,0.814603
14,974.377,0.193705,0.600992
15,1044.36,0.269606,0.815494
16,1114.34,0.267523,0.842726
17,1185.67,0.248957,0.813203
18,1255.65,0.29109,0.893561
19,1328.33,0.350289,0.930509
35,2575.91,0.569314,0.957959
36,2651.28,0.567869,0.895646
37,2729.33,0.600151,0.972843
38,2806.05,0.561395,0.966403
