partial,f,sigma,r2
1,36.3373,0.155795,0.725686
2,72.6746,0.187494,0.874583
3,109.012,0.136594,0.634782
4,146.695,0.129544,0.664209
6,219.37,0.147155,0.639602
7,255.707,0.145091,0.784795
8,293.39,0.172117,0.886242
9,329.727,0.105077,0.558876
10,366.064,0.144637,0.718523
11,403.748,0.151584,0.620974
12,440.085,0.174858,0.671488
13,477.768,0.220441,0.930284
14,514.105,0.168269,0.847588
15,551.788,0.150784,0.677015
16,589.471,0.166783,0.760444
17,627.155,0.226268,0.921232
18,664.838,0.212431,0.861029
19,702.521,0.195751,0.798798
20,740.204,0.185455,0.856519
21,777.887,0.195253,0.851063
22,815.57,0.211656,0.898199
23,854.599,0.229072,0.922404
24,893.628,0.255139,0.92868
25,934.003,0.285186,0.927965
27,1028.21,3.51508,0.943518
34,1329.68,0.404716,0.935569
35,1371.4,0.459823,0.984878
36,1413.12,0.510724,0.984417
37,1454.84,0.532209,0.963213
38,1496.56,0.504595,0.995874
39,1540.97,0.486667,0.812572
40,1581.34,0.701257,0.948927
41,1624.41,0.633734,0.961327
42,1667.48,0.617307,0.975991
43,1710.54,0.675848,0.992872
44,1753.61,0.781937,0.926832
45,1799.37,0.807344,0.937968
50,2055.08,2.75129,0.978795
51,2112.95,0.936074,0.981979
52,2160.05,1.00777,0.953966
53,2207.15,0.945301,0.972221
54,2254.26,1.06065,0.94194
55,2301.36,1.12214,0.947783
57,2396.91,1.13733,0.96881
60,2570.53,1.30245,0.987874
68,3009.27,1.84205,0.923483
69,3084.63,1.88707,0.958778
