partial,f,sigma,r2
1,82.0953,0.209534,0.921801
2,165.536,0.2099,0.778138
3,247.632,0.327199,0.940306
4,329.727,0.19196,0.64252
5,411.823,0.157732,0.777423
6,493.918,0.249843,0.709907
7,577.359,0.204636,0.832142
8,659.454,0.227116,0.794363
9,742.896,0.291696,0.846748
10,824.991,0.195513,0.697539
11,908.432,0.249121,0.827429
12,991.873,0.271619,0.897225
13,1075.31,0.255243,0.811684
14,1158.76,0.369289,0.851469
15,1243.54,0.261404,0.792977
16,1326.98,0.575593,0.918166
17,1411.77,0.257021,0.734782
18,1496.56,0.303057,0.846728
19,1581.34,0.302678,0.846237
37,3264.97,0.76108,0.781266
38,3360.53,1.3952,0.891492
39,3453.39,1.54269,0.875612
42,3740.05,2.1213,0.827448
