partial,f,sigma,r2
1,45.7581,0.252655,0.905702
2,91.5161,0.265894,0.950654
3,138.62,0.233386,0.936166
4,184.378,0.227978,0.803965
5,230.136,0.258508,0.854907
6,277.24,0.269292,0.889384
9,415.86,0.21112,0.862434
10,461.618,0.209515,0.742473
11,508.722,0.165877,0.752586
12,555.826,0.277551,0.831956
13,601.584,0.2532,0.840683
14,648.688,0.232155,0.719297
16,742.896,0.186936,0.663042
18,837.103,0.261371,0.811728
19,885.553,0.252612,0.77986
20,932.657,0.21534,0.580173
21,981.107,0.379939,0.864749
22,1029.56,0.194046,0.737424
23,1079.35,0.302512,0.863011
26,1250.27,0.63285,0.858743
27,1297.38,0.657402,0.837481
33,1619.03,0.552416,0.940069
34,1670.17,0.526322,0.906822
35,1721.31,0.492567,0.968954
36,1773.8,0.526238,0.908635
37,1824.94,0.474859,0.980424
38,1877.43,0.547575,0.956712
39,1929.91,0.50114,0.900178
50,2581.29,0.926062,0.962468
51,2639.16,0.905728,0.987305
57,3046.95,1.35578,0.905975
58,3108.86,1.29643,0.872345
59,3165.38,1.81257,0.868877
60,3228.63,1.6021,0.845624
61,3290.54,1.52062,0.893258
66,3664.68,2.50068,0.890859
68,3793.88,2.89441,0.833496
