partial,f,sigma,r2
1,65.9454,0.20257,0.864489
2,130.545,0.236167,0.809395
3,196.49,0.190787,0.859098
4,261.09,0.182027,0.552121
5,327.036,0.17268,0.707985
6,391.635,0.210938,0.837219
7,457.581,0.21717,0.756528
8,523.526,0.19447,0.562183
9,588.126,0.190561,0.74933
10,654.071,0.168118,0.55573
11,720.016,0.253174,0.924511
12,785.962,0.196953,0.743496
14,919.199,0.166259,0.66657
15,985.144,0.164087,0.517472
16,1051.09,0.296268,0.888443
17,1118.38,0.235087,0.821707
18,1184.33,0.235282,0.785379
19,1252.96,0.325466,0.867148
33,2283.87,0.427172,0.90471
34,2356.54,0.502167,0.94582
35,2426.52,0.585469,0.954157
36,2499.2,0.562801,0.953466
37,2570.53,0.536129,0.934762
45,3235.36,1.07844,0.811405
58,4390.08,1.61368,0.804852
