partial,f,sigma,r2
1,32.2998,0.223594,0.961712
2,64.5996,0.202187,0.903546
3,96.8994,0.119039,0.549785
4,130.545,0.164906,0.802929
5,162.845,0.153791,0.798778
6,195.145,0.132616,0.608014
7,227.444,0.163486,0.834
9,293.39,0.159223,0.779893
10,325.69,0.15162,0.810122
11,359.335,0.141428,0.653001
13,425.281,0.138285,0.611864
14,458.926,0.146184,0.563291
15,492.572,0.16848,0.727996
16,526.218,0.15899,0.772922
17,559.863,0.173643,0.711503
18,593.509,0.188896,0.811596
19,627.155,0.162623,0.70344
20,660.8,0.180085,0.738085
21,695.792,0.189967,0.837664
22,729.437,0.201683,0.847992
23,764.429,0.204694,0.836049
24,799.42,0.215353,0.866502
25,834.412,0.226459,0.807415
26,869.403,0.252555,0.924025
27,904.395,0.247141,0.951719
28,940.732,0.282261,0.941376
29,977.069,0.287206,0.962165
30,1013.41,0.302476,0.94458
31,1049.74,0.346049,0.991861
32,1086.08,0.350947,0.990964
41,1460.22,0.893915,0.998102
46,1667.48,0.633772,0.971977
47,1710.54,0.761304,0.952594
48,1753.61,0.736727,0.957954
49,1795.33,0.888852,0.999427
50,1838.4,0.835652,0.949187
51,1880.12,0.838609,0.992367
52,1924.53,0.850506,0.996292
53,1967.6,0.889965,0.988778
54,2010.66,0.94915,0.990127
55,2056.42,0.956021,0.998887
59,2238.11,1.00598,0.943885
60,2285.21,0.942557,0.958092
71,2855.84,1.66726,0.996969
83,3536.83,4.53246,0.944583
84,3594.7,4.69496,0.903234
86,3713.13,1.87474,0.671412
95,4285.11,5.20399,0.873559
