partial,f,sigma,r2
1,55.1788,0.236982,0.813425
2,110.358,0.229904,0.774829
3,164.191,0.232352,0.862672
4,219.37,0.253623,0.917453
5,274.548,0.226297,0.788133
6,329.727,0.21529,0.711345
7,384.906,0.299795,0.867915
8,440.085,0.151877,0.618251
10,550.443,0.201937,0.727916
11,605.621,0.200346,0.67257
12,660.8,0.243313,0.799638
13,715.979,0.289388,0.811415
14,771.158,0.209203,0.744385
15,827.682,0.189974,0.700025
16,882.861,0.202121,0.78735
17,938.04,0.224993,0.714915
18,994.565,0.298567,0.902003
19,1051.09,0.197211,0.726839
20,1110.31,0.30278,0.915503
31,1796.68,0.467476,0.967642
32,1857.24,0.461392,0.962655
33,1915.11,0.488905,0.972196
34,1975.67,0.436121,0.994046
35,2033.54,0.456557,0.974179
36,2096.8,0.488327,0.981497
37,2157.36,0.471382,0.966093
42,2519.38,0.659583,0.931163
43,2588.02,0.617826,0.881201
44,2649.93,0.822343,0.995665
51,3157.31,1.71875,0.87452
57,3597.39,1.39943,0.885519
59,3761.58,1.36366,0.65777
61,3915.01,1.35586,0.678232
