Time: 1.01982, F: 0.0648078
Time: 1.01984, F: 0.0668857
Time: 1.01986, F: 0.069017
Time: 1.01989, F: 0.0712029
Time: 1.01991, F: 0.0734445
Time: 1.01993, F: 0.0757427
Time: 1.01995, F: 0.0780986
Time: 1.01998, F: 0.0805134
Time: 1.02, F: 0.0829882
Time: 1.02002, F: 0.0855241
Time: 1.02005, F: 0.0881222
Time: 1.02007, F: 0.0907836
Time: 1.02009, F: 0.0935097
Time: 1.02011, F: 0.0963014
Time: 1.02014, F: 0.09916
Time: 1.02016, F: 0.102087
Time: 1.02018, F: 0.105083
Time: 1.0202, F: 0.10815
Time: 1.02023, F: 0.111288
Time: 1.02025, F: 0.1145
Time: 1.02027, F: 0.117786
Time: 1.02029, F: 0.121148
Time: 1.02032, F: 0.124587
Time: 1.02034, F: 0.128104
Time: 1.02036, F: 0.131701
Time: 1.02039, F: 0.135379
Time: 1.02041, F: 0.139139
Time: 1.02043, F: 0.142983
Time: 1.02045, F: 0.146913
Time: 1.02048, F: 0.150929
Time: 1.0205, F: 0.155033
Time: 1.02052, F: 0.159227
Time: 1.02054, F: 0.163512
Time: 1.02057, F: 0.167889
Time: 1.02059, F: 0.17236
Time: 1.02061, F: 0.176927
Time: 1.02063, F: 0.181591
Time: 1.02066, F: 0.186354
Time: 1.02068, F: 0.191216
Time: 1.0207, F: 0.196181
Time: 1.02073, F: 0.201249
Time: 1.02075, F: 0.206422
Time: 1.02077, F: 0.211702
Time: 1.02079, F: 0.21709
Time: 1.02082, F: 0.222588
Time: 1.02084, F: 0.228197
Time: 1.02086, F: 0.23392
Time: 1.02088, F: 0.239759
Time: 1.02091, F: 0.245714
Time: 1.02093, F: 0.251787
Time: 1.02095, F: 0.257981
Time: 1.02098, F: 0.264297
Time: 1.021, F: 0.270738
Time: 1.02102, F: 0.277304
Time: 1.02104, F: 0.283997
Time: 1.02107, F: 0.290821
Time: 1.02109, F: 0.297776
Time: 1.02111, F: 0.304864
Time: 1.02113, F: 0.312087
Time: 1.02116, F: 0.319448
Time: 1.02118, F: 0.326947
Time: 1.0212, F: 0.334588
Time: 1.02122, F: 0.342372
Time: 1.02125, F: 0.350302
Time: 1.02127, F: 0.358378
Time: 1.02129, F: 0.366604
Time: 1.02132, F: 0.374981
Time: 1.02134, F: 0.383511
Time: 1.02136, F: 0.392197
Time: 1.02138, F: 0.401041
Time: 1.02141, F: 0.410045
Time: 1.02143, F: 0.41921
Time: 1.02145, F: 0.42854
Time: 1.02147, F: 0.438036
Time: 1.0215, F: 0.447701
Time: 1.02152, F: 0.457536
Time: 1.02154, F: 0.467545
Time: 1.02156, F: 0.477729
Time: 1.02159, F: 0.488091
Time: 1.02161, F: 0.498633
Time: 1.02163, F: 0.509358
Time: 1.02166, F: 0.520267
Time: 1.02168, F: 0.531364
Time: 1.0217, F: 0.54265
Time: 1.02172, F: 0.554128
Time: 1.02175, F: 0.565801
Time: 1.02177, F: 0.57767
Time: 1.02179, F: 0.58974
Time: 1.02181, F: 0.602011
Time: 1.02184, F: 0.614486
Time: 1.02186, F: 0.627169
Time: 1.02188, F: 0.640062
Time: 1.0219, F: 0.653166
Time: 1.02193, F: 0.666486
Time: 1.02195, F: 0.680023
Time: 1.02197, F: 0.693781
Time: 1.022, F: 0.707761
Time: 1.02202, F: 0.721967
Time: 1.02204, F: 0.736401
Time: 1.02206, F: 0.751067
Time: 1.02209, F: 0.765966
Time: 1.02211, F: 0.781102
Time: 1.02213, F: 0.796478
Time: 1.02215, F: 0.812096
Time: 1.02218, F: 0.827959
Time: 1.0222, F: 0.84407
Time: 1.02222, F: 0.860433
Time: 1.02224, F: 0.877049
Time: 1.02227, F: 0.893922
Time: 1.02229, F: 0.911055
Time: 1.02231, F: 0.928451
Time: 1.02234, F: 0.946113
Time: 1.02236, F: 0.964044
Time: 1.02238, F: 0.982247
Time: 1.0224, F: 1.00072
Time: 1.02243, F: 1.01948
Time: 1.02245, F: 1.03852
Time: 1.02247, F: 1.05784
Time: 1.02249, F: 1.07745
Time: 1.02252, F: 1.09735
Time: 1.02254, F: 1.11755
Time: 1.02256, F: 1.13804
Time: 1.02259, F: 1.15883
Time: 1.02261, F: 1.17993
Time: 1.02263, F: 1.20134
Time: 1.02265, F: 1.22305
Time: 1.02268, F: 1.24508
Time: 1.0227, F: 1.26743
Time: 1.02272, F: 1.2901
Time: 1.02274, F: 1.31309
Time: 1.02277, F: 1.33641
Time: 1.02279, F: 1.36007
Time: 1.02281, F: 1.38405
Time: 1.02283, F: 1.40838
Time: 1.02286, F: 1.43305
Time: 1.02288, F: 1.45806
Time: 1.0229, F: 1.48342
Time: 1.02293, F: 1.50914
Time: 1.02295, F: 1.53521
Time: 1.02297, F: 1.56165
Time: 1.02299, F: 1.58844
Time: 1.02302, F: 1.61561
Time: 1.02304, F: 1.64315
Time: 1.02306, F: 1.67106
Time: 1.02308, F: 1.69935
Time: 1.02311, F: 1.72802
Time: 1.02313, F: 1.75709
Time: 1.02315, F: 1.78654
Time: 1.02317, F: 1.81639
Time: 1.0232, F: 1.84663
Time: 1.02322, F: 1.87728
Time: 1.02324, F: 1.90834
Time: 1.02327, F: 1.9398
Time: 1.02329, F: 1.97169
Time: 1.02331, F: 2.00399
Time: 1.02333, F: 2.03671
Time: 1.02336, F: 2.06986
Time: 1.02338, F: 2.10345
Time: 1.0234, F: 2.13746
Time: 1.02342, F: 2.17192
Time: 1.02345, F: 2.20683
Time: 1.02347, F: 2.24218
Time: 1.02349, F: 2.27798
Time: 1.02351, F: 2.31424
Time: 1.02354, F: 2.35096
Time: 1.02356, F: 2.38815
Time: 1.02358, F: 2.42581
Time: 1.02361, F: 2.46394
Time: 1.02363, F: 2.50256
Time: 1.02365, F: 2.54165
Time: 1.02367, F: 2.58124
Time: 1.0237, F: 2.62131
Time: 1.02372, F: 2.66189
Time: 1.02374, F: 2.70296
Time: 1.02376, F: 2.74455
Time: 1.02379, F: 2.78664
Time: 1.02381, F: 2.82925
Time: 1.02383, F: 2.87238
Time: 1.02385, F: 2.91604
Time: 1.02388, F: 2.96022
Time: 1.0239, F: 3.00494
Time: 1.02392, F: 3.0502
Time: 1.02395, F: 3.09601
Time: 1.02397, F: 3.14237
Time: 1.02399, F: 3.18928
Time: 1.02401, F: 3.23674
Time: 1.02404, F: 3.28478
Time: 1.02406, F: 3.33338
Time: 1.02408, F: 3.38256
Time: 1.0241, F: 3.43231
Time: 1.02413, F: 3.48265
Time: 1.02415, F: 3.53359
Time: 1.02417, F: 3.58511
Time: 1.0242, F: 3.63724
Time: 1.02422, F: 3.68997
Time: 1.02424, F: 3.74331
Time: 1.02426, F: 3.79727
Time: 1.02429, F: 3.85184
Time: 1.02431, F: 3.90705
Time: 1.02433, F: 3.96288
Time: 1.02435, F: 4.01936
Time: 1.02438, F: 4.07647
Time: 1.0244, F: 4.13423
Time: 1.02442, F: 4.19265
Time: 1.02444, F: 4.25172
Time: 1.02447, F: 4.31146
Time: 1.02449, F: 4.37187
Time: 1.02451, F: 4.43296
Time: 1.02454, F: 4.49472
Time: 1.02456, F: 4.55717
Time: 1.02458, F: 4.62032
Time: 1.0246, F: 4.68416
Time: 1.02463, F: 4.74871
Time: 1.02465, F: 4.81396
Time: 1.02467, F: 4.87993
Time: 1.02469, F: 4.94663
Time: 1.02472, F: 5.01404
Time: 1.02474, F: 5.0822
Time: 1.02476, F: 5.15109
Time: 1.02478, F: 5.22072
Time: 1.02481, F: 5.29111
Time: 1.02483, F: 5.36225
Time: 1.02485, F: 5.43415
Time: 1.02488, F: 5.50683
Time: 1.0249, F: 5.58027
Time: 1.02492, F: 5.6545
Time: 1.02494, F: 5.72952
Time: 1.02497, F: 5.80533
Time: 1.02499, F: 5.88193
Time: 1.02501, F: 5.95935
Time: 1.02503, F: 6.03757
Time: 1.02506, F: 6.11662
Time: 1.02508, F: 6.19648
Time: 1.0251, F: 6.27718
Time: 1.02512, F: 6.35872
Time: 1.02515, F: 6.44109
Time: 1.02517, F: 6.52432
Time: 1.02519, F: 6.60841
Time: 1.02522, F: 6.69335
Time: 1.02524, F: 6.77917
Time: 1.02526, F: 6.86586
Time: 1.02528, F: 6.95344
Time: 1.02531, F: 7.0419
Time: 1.02533, F: 7.13126
Time: 1.02535, F: 7.22152
Time: 1.02537, F: 7.31269
Time: 1.0254, F: 7.40478
Time: 1.02542, F: 7.49778
Time: 1.02544, F: 7.59172
Time: 1.02546, F: 7.68659
Time: 1.02549, F: 7.78241
Time: 1.02551, F: 7.87917
Time: 1.02553, F: 7.9769
Time: 1.02556, F: 8.07558
Time: 1.02558, F: 8.17524
Time: 1.0256, F: 8.27587
Time: 1.02562, F: 8.37749
Time: 1.02565, F: 8.4801
Time: 1.02567, F: 8.5837
Time: 1.02569, F: 8.68831
Time: 1.02571, F: 8.79394
Time: 1.02574, F: 8.90058
Time: 1.02576, F: 9.00825
Time: 1.02578, F: 9.11696
Time: 1.0258, F: 9.22671
Time: 1.02583, F: 9.3375
Time: 1.02585, F: 9.44935
Time: 1.02587, F: 9.56226
Time: 1.0259, F: 9.67625
Time: 1.02592, F: 9.79131
Time: 1.02594, F: 9.90745
Time: 1.02596, F: 10.0247
Time: 1.02599, F: 10.143
Time: 1.02601, F: 10.2625
Time: 1.02603, F: 10.383
Time: 1.02605, F: 10.5047
Time: 1.02608, F: 10.6275
Time: 1.0261, F: 10.7515
Time: 1.02612, F: 10.8766
Time: 1.02615, F: 11.0028
Time: 1.02617, F: 11.1302
Time: 1.02619, F: 11.2588
Time: 1.02621, F: 11.3885
Time: 1.02624, F: 11.5195
Time: 1.02626, F: 11.6516
Time: 1.02628, F: 11.7849
Time: 1.0263, F: 11.9194
Time: 1.02633, F: 12.0552
Time: 1.02635, F: 12.1922
Time: 1.02637, F: 12.3303
Time: 1.02639, F: 12.4698
Time: 1.02642, F: 12.6104
Time: 1.02644, F: 12.7524
Time: 1.02646, F: 12.8956
Time: 1.02649, F: 13.04
Time: 1.02651, F: 13.1858
Time: 1.02653, F: 13.3328
Time: 1.02655, F: 13.4811
Time: 1.02658, F: 13.6307
Time: 1.0266, F: 13.7816
Time: 1.02662, F: 13.9339
Time: 1.02664, F: 14.0874
Time: 1.02667, F: 14.2423
Time: 1.02669, F: 14.3986
Time: 1.02671, F: 14.5562
Time: 1.02673, F: 14.7151
Time: 1.02676, F: 14.8754
Time: 1.02678, F: 15.0371
Time: 1.0268, F: 15.2002
Time: 1.02683, F: 15.3646
Time: 1.02685, F: 15.5305
Time: 1.02687, F: 15.6977
Time: 1.02689, F: 15.8664
Time: 1.02692, F: 16.0365
Time: 1.02694, F: 16.208
Time: 1.02696, F: 16.381
Time: 1.02698, F: 16.5554
Time: 1.02701, F: 16.7313
Time: 1.02703, F: 16.9086
Time: 1.02705, F: 17.0874
Time: 1.02707, F: 17.2677
Time: 1.0271, F: 17.4495
Time: 1.02712, F: 17.6328
Time: 1.02714, F: 17.8176
Time: 1.02717, F: 18.0039
Time: 1.02719, F: 18.1917
Time: 1.02721, F: 18.3811
Time: 1.02723, F: 18.5719
Time: 1.02726, F: 18.7644
Time: 1.02728, F: 18.9584
Time: 1.0273, F: 19.1539
Time: 1.02732, F: 19.3511
Time: 1.02735, F: 19.5498
Time: 1.02737, F: 19.7501
Time: 1.02739, F: 19.952
Time: 1.02741, F: 20.1555
Time: 1.02744, F: 20.3607
Time: 1.02746, F: 20.5674
Time: 1.02748, F: 20.7758
Time: 1.02751, F: 20.9858
Time: 1.02753, F: 21.1975
Time: 1.02755, F: 21.4108
Time: 1.02757, F: 21.6258
Time: 1.0276, F: 21.8425
Time: 1.02762, F: 22.0608
Time: 1.02764, F: 22.2809
Time: 1.02766, F: 22.5026
Time: 1.02769, F: 22.7261
Time: 1.02771, F: 22.9512
Time: 1.02773, F: 23.1781
Time: 1.02776, F: 23.4068
Time: 1.02778, F: 23.6371
Time: 1.0278, F: 23.8693
Time: 1.02782, F: 24.1031
Time: 1.02785, F: 24.3388
Time: 1.02787, F: 24.5762
Time: 1.02789, F: 24.8154
Time: 1.02791, F: 25.0564
Time: 1.02794, F: 25.2992
Time: 1.02796, F: 25.5438
Time: 1.02798, F: 25.7902
Time: 1.028, F: 26.0384
Time: 1.02803, F: 26.2885
Time: 1.02805, F: 26.5404
Time: 1.02807, F: 26.7942
Time: 1.0281, F: 27.0498
Time: 1.02812, F: 27.3073
Time: 1.02814, F: 27.5666
Time: 1.02816, F: 27.8278
Time: 1.02819, F: 28.091
Time: 1.02821, F: 28.356
Time: 1.02823, F: 28.6229
Time: 1.02825, F: 28.8918
Time: 1.02828, F: 29.1625
Time: 1.0283, F: 29.4352
Time: 1.02832, F: 29.7098
Time: 1.02834, F: 29.9864
Time: 1.02837, F: 30.2649
Time: 1.02839, F: 30.5454
Time: 1.02841, F: 30.8279
Time: 1.02844, F: 31.1123
Time: 1.02846, F: 31.3987
Time: 1.02848, F: 31.6871
Time: 1.0285, F: 31.9775
Time: 1.02853, F: 32.2699
Time: 1.02855, F: 32.5643
Time: 1.02857, F: 32.8607
Time: 1.02859, F: 33.1592
Time: 1.02862, F: 33.4597
Time: 1.02864, F: 33.7622
Time: 1.02866, F: 34.0668
Time: 1.02868, F: 34.3735
Time: 1.02871, F: 34.6822
Time: 1.02873, F: 34.9929
Time: 1.02875, F: 35.3058
Time: 1.02878, F: 35.6207
Time: 1.0288, F: 35.9378
Time: 1.02882, F: 36.2569
Time: 1.02884, F: 36.5781
Time: 1.02887, F: 36.9015
Time: 1.02889, F: 37.2269
Time: 1.02891, F: 37.5545
Time: 1.02893, F: 37.8842
