partial,f,sigma,r2
1,103.629,0.287397,0.943765
4,414.514,0.16307,0.674046
5,519.489,0.155764,0.54946
6,623.117,0.268953,0.925204
7,728.091,0.225637,0.795613
8,831.72,0.230578,0.867108
9,936.694,0.351466,0.883344
10,1041.67,0.22587,0.758255
11,1146.64,0.206447,0.845536
12,1251.62,0.248882,0.81648
13,1357.94,0.293298,0.946304
14,1464.26,0.433285,0.955721
15,1570.58,0.36331,0.91972
16,1676.9,0.351582,0.842589
17,1784.56,0.342403,0.864776
18,1892.23,0.380945,0.922329
19,2001.24,0.398636,0.92581
21,2217.92,0.521154,0.879787
23,2438.64,0.484671,0.967222
