partial,f,sigma,r2
1,36.3373,0.167689,0.80862
2,72.6746,0.171335,0.84856
3,109.012,0.133727,0.611427
4,146.695,0.142966,0.758983
6,219.37,0.144418,0.623898
7,255.707,0.152487,0.801521
8,293.39,0.182726,0.928405
9,329.727,0.106013,0.571408
10,366.064,0.154643,0.76722
11,403.748,0.152773,0.617098
12,440.085,0.174828,0.66324
13,477.768,0.220776,0.936252
14,514.105,0.165544,0.842927
15,551.788,0.149263,0.666858
16,589.471,0.163877,0.757906
17,627.155,0.224339,0.92812
18,664.838,0.21245,0.863645
19,702.521,0.194488,0.807989
20,740.204,0.181677,0.849786
21,777.887,0.192347,0.836683
22,815.57,0.207179,0.898215
23,854.599,0.2258,0.923877
24,893.628,0.242918,0.895799
25,934.003,0.272781,0.895553
27,1028.21,3.46343,0.89732
34,1329.68,0.383464,0.875661
35,1371.4,0.453645,0.984602
36,1413.12,0.502951,0.983641
37,1454.84,0.52498,0.963663
38,1496.56,0.500426,0.995774
39,1540.97,0.486235,0.826638
40,1581.34,0.70245,0.954806
41,1624.41,0.623248,0.963191
42,1667.48,0.60651,0.975294
43,1710.54,0.663598,0.992537
44,1753.61,0.772658,0.939711
52,2160.05,0.977222,0.922062
69,3083.29,2.39623,0.834256
