partial,f,sigma,r2
1,26.9165,0.210059,0.901565
2,55.1788,0.247832,0.950366
3,82.0953,0.217993,0.925498
4,109.012,0.135036,0.619121
5,135.928,0.157295,0.763335
6,164.191,0.195159,0.869744
10,274.548,0.124318,0.508007
11,302.811,0.118069,0.572167
12,331.073,0.11208,0.542097
13,357.99,0.176078,0.864889
14,386.252,0.207556,0.904037
15,415.86,0.300965,0.731941
16,442.776,0.191901,0.78386
17,472.385,0.173097,0.747497
18,501.993,0.186732,0.755384
19,530.255,0.173895,0.797018
20,559.863,0.197628,0.792758
21,589.471,0.130421,0.635265
22,619.08,0.211278,0.923765
23,648.688,0.225853,0.944216
24,679.642,0.264044,0.967582
25,710.596,0.248947,0.934817
26,741.55,0.242749,0.943178
27,771.158,0.27263,0.971466
28,803.458,0.275676,0.948374
29,834.412,0.355608,0.988635
30,866.711,0.335731,0.987146
31,899.011,0.332632,0.954018
32,931.311,0.358994,0.905028
34,997.256,0.501385,0.99481
35,1030.9,0.432827,0.993726
36,1064.55,0.452755,0.993077
37,1096.85,0.486923,0.998592
42,1240.85,0.660877,0.985987
43,1275.84,0.750681,0.989791
44,1312.18,0.75241,0.986965
45,1349.86,0.898036,0.990981
46,1386.2,0.907207,0.994817
47,1423.88,0.99915,0.999386
48,1462.91,1.02209,0.98625
49,1500.6,1.18353,0.990661
52,1620.37,1.20029,0.966898
54,1699.78,1.32656,0.992775
56,1776.49,1.60995,0.999872
