partial,f,sigma,r2
1,40.3748,0.190734,0.917956
2,82.0953,0.155276,0.801732
3,122.47,0.174381,0.857641
4,164.191,0.183033,0.863385
6,246.286,0.135923,0.711191
7,288.007,0.142486,0.652999
8,328.381,0.153862,0.801459
9,370.102,0.165093,0.838675
11,453.543,0.119472,0.594074
12,495.264,0.15865,0.779036
13,536.984,0.192591,0.852918
14,578.705,0.188712,0.80565
15,620.425,0.201254,0.846433
16,662.146,0.173816,0.69372
17,705.212,0.181231,0.870999
18,746.933,0.183536,0.848579
19,789.999,0.249618,0.952536
20,831.72,0.231899,0.882908
21,874.786,0.245818,0.912528
22,917.853,0.280121,0.956387
23,960.919,0.285016,0.933159
24,1005.33,0.302588,0.916295
25,1049.74,0.312151,0.979212
26,1094.16,0.308977,0.944827
27,1154.72,1.53414,0.992683
37,1637.87,0.653336,0.938769
38,1687.66,0.758534,0.986734
39,1733.42,0.686769,0.881644
40,1783.22,0.683607,0.96823
41,1831.67,0.699217,0.95292
43,1928.57,0.754938,0.966682
69,3465.5,3.76236,0.866233
