partial,f,sigma,r2
1,52.4872,0.198202,0.777556
2,103.629,0.27891,0.931839
3,154.77,0.178195,0.798163
4,207.257,0.204142,0.786463
8,414.514,0.120102,0.617947
10,519.489,0.176288,0.703998
11,570.63,0.161367,0.701047
12,623.117,0.224805,0.857472
13,675.604,0.276283,0.793216
14,728.091,0.221868,0.676644
15,780.579,0.225474,0.759739
16,833.066,0.239772,0.777898
17,886.899,0.213603,0.731695
18,939.386,0.262186,0.918863
19,991.873,0.316204,0.865253
20,1047.05,0.217371,0.794371
27,1441.38,13.2795,0.997704
34,1868.01,0.482759,0.980974
35,1925.88,0.492039,0.993076
36,1981.05,0.479225,0.954723
37,2037.58,0.478293,0.988369
44,2505.93,0.757244,0.95984
