partial,f,sigma,r2
1,32.2998,0.214986,0.927608
2,64.5996,0.209211,0.886184
3,96.8994,0.134962,0.649278
4,130.545,0.178093,0.864859
5,162.845,0.156657,0.806429
6,195.145,0.149176,0.704223
7,227.444,0.173061,0.855068
9,293.39,0.147452,0.747547
10,325.69,0.151766,0.803363
11,359.335,0.138192,0.632765
13,425.281,0.134635,0.589936
14,458.926,0.14524,0.575076
15,492.572,0.16644,0.725985
16,526.218,0.159893,0.767187
17,559.863,0.17347,0.724322
18,593.509,0.185656,0.802665
19,627.155,0.158945,0.690434
20,660.8,0.181172,0.732494
21,695.792,0.190689,0.831942
22,729.437,0.197887,0.837512
23,764.429,0.202761,0.821416
24,799.42,0.205873,0.877802
25,834.412,0.225888,0.802052
26,869.403,0.249916,0.92774
27,904.395,0.247218,0.952968
28,940.732,0.279137,0.94035
29,977.069,0.283892,0.95694
30,1013.41,0.297218,0.943394
31,1049.74,0.33737,0.993638
32,1086.08,0.337849,0.989906
52,1924.53,0.84007,0.99636
53,1967.6,0.887923,0.983858
