partial,f,sigma,r2
1,61.908,0.219005,0.866854
2,123.816,0.314044,0.960521
3,184.378,0.221168,0.68182
4,246.286,0.213391,0.61075
5,308.194,0.221066,0.800375
6,370.102,0.177165,0.790424
8,493.918,0.144689,0.593475
9,555.826,0.197783,0.780104
10,617.734,0.243287,0.876977
11,679.642,0.139078,0.500922
12,742.896,0.197586,0.685359
13,804.803,0.24312,0.679109
14,866.711,0.17387,0.731245
15,929.965,0.184988,0.63206
16,993.219,0.231393,0.763853
17,1056.47,0.27139,0.855104
18,1118.38,0.258614,0.802711
19,1182.98,0.25744,0.766859
20,1247.58,0.273722,0.75214
21,1312.18,0.351093,0.960284
35,2295.98,0.437633,0.973277
