partial,f,sigma,r2
1,28.2623,0.187247,0.861832
2,57.8705,0.231817,0.940508
3,86.1328,0.190391,0.892193
4,115.741,0.179865,0.874769
5,145.349,0.16514,0.834477
8,232.828,0.151224,0.864603
9,261.09,0.134276,0.664217
11,320.306,0.117056,0.620234
12,349.915,0.111316,0.527275
13,380.869,0.170727,0.850579
14,410.477,0.150568,0.636275
15,440.085,0.181694,0.87544
16,471.039,0.170881,0.676463
17,501.993,0.153934,0.734228
18,532.947,0.210132,0.925879
19,563.901,0.180098,0.835176
20,594.855,0.26919,0.896005
21,625.809,0.222109,0.913933
22,658.109,0.227111,0.933176
23,689.062,0.226821,0.911602
24,721.362,0.203702,0.858457
25,753.662,0.226255,0.925834
26,787.308,0.241387,0.917328
27,820.953,0.272998,0.949645
28,853.253,0.279082,0.953638
29,886.899,0.33728,0.991211
30,921.89,0.305187,0.965271
31,955.536,0.329255,0.969752
32,990.527,0.381691,0.879951
38,1172.21,0.505833,0.970322
39,1207.21,0.523996,0.978302
40,1244.89,0.6557,0.960779
41,1282.57,0.615505,0.98729
42,1320.25,0.660708,0.957218
43,1359.28,0.748037,0.959217
44,1398.31,0.73815,0.998755
45,1437.34,0.793006,0.989499
46,1477.72,0.969057,0.961544
47,1518.09,0.883607,0.967925
48,1559.81,0.887768,0.98254
49,1600.19,1.61436,0.99183
55,1816.86,1.32233,0.995858
56,1858.58,1.42819,0.962223
57,1904.34,1.71949,0.978553
58,1950.1,1.53874,0.935229
