partial,f,sigma,r2
1,87.4786,0.166092,0.832414
2,174.957,0.294789,0.981833
3,261.09,0.152105,0.800565
5,436.047,0.232922,0.615118
6,523.526,0.18704,0.761504
7,611.005,0.196319,0.567927
9,787.308,0.158274,0.60015
10,874.786,0.172448,0.662061
11,963.611,0.220644,0.756602
12,1051.09,0.290741,0.828308
13,1139.91,0.306909,0.874446
14,1228.74,0.228389,0.762342
15,1317.56,0.286571,0.829284
16,1407.73,0.361429,0.909037
17,1496.56,0.316739,0.870046
18,1586.73,0.33164,0.87131
19,1676.9,0.363174,0.90622
20,1768.41,0.491656,0.926546
