partial,f,sigma,r2,fittedFrameCount
1,103.629,0.334723,0.855684,1261
2,207.257,0.239133,0.843081,1253
4,414.514,0.206945,0.743738,1269
5,519.489,0.189504,0.734581,1267
6,623.117,0.252088,0.763247,1269
7,728.091,0.249698,0.776187,1270
8,831.72,0.255412,0.71988,1268
9,936.694,0.234448,0.69615,1270
10,1041.67,0.261749,0.863626,1267
11,1146.64,0.216686,0.821865,1270
12,1251.62,0.290395,0.872503,1261
13,1357.94,0.34281,0.911176,1190
14,1464.26,0.389428,0.950425,1234
15,1570.58,0.400543,0.915087,1060
16,1676.9,0.43557,0.805418,778
17,1784.56,0.37425,0.948473,1220
18,1892.23,0.441757,0.933423,1131
19,2001.24,0.415009,0.922992,1169
20,2110.25,0.493581,0.838158,787
21,2217.92,0.532114,0.890026,935
22,2328.28,0.557876,0.961316,965
23,2438.64,0.534067,0.963879,924
24,2550.34,0.658781,0.893385,769
25,2662.04,0.566904,0.927921,799
26,2776.44,0.733601,0.975568,743
28,3115.59,0.847392,0.947124,854
34,3345.72,0.825584,0.958099,763
36,3461.46,1.08588,0.931932,620
37,4550.23,1.54478,0.939927,393
38,4803.25,1.74333,0.930898,368
49,4929.76,1.74053,0.981631,390
50,5058.96,2.47867,0.927289,362
52,5320.05,2.30692,0.887601,286
54,6266.16,2.58364,0.875842,230
61,8035.92,1.55213,0.582707,520
