partial,f,sigma,r2,fittedFrameCount
1,87.4786,0.193206,0.889139,1272
2,174.957,0.289014,0.736295,1269
3,261.09,0.161731,0.812325,1275
4,348.569,0.770322,0.954194,582
5,436.047,0.21761,0.635019,1268
6,523.526,0.209276,0.760726,1269
7,611.005,0.216046,0.644168,1269
9,787.308,0.178765,0.698869,1271
11,963.611,0.24416,0.811285,1273
12,1051.09,0.282996,0.790776,1267
13,1139.91,0.287627,0.849365,1267
14,1228.74,0.254664,0.795471,1270
15,1317.56,0.320162,0.819143,1266
16,1407.73,0.373189,0.918021,1263
17,1496.56,0.314926,0.867669,1212
18,1586.73,0.335531,0.873524,1261
19,1676.9,0.371926,0.902366,1264
20,1768.41,0.502621,0.928544,963
33,2600.13,0.644858,0.918232,771
34,2812.77,0.62307,0.974099,748
36,3472.23,0.939331,0.844729,529
44,3571.82,1.50765,0.820504,536
45,4219.16,2.58976,0.918123,340
51,4289.15,2.51852,0.866449,347
52,4394.12,1.84556,0.873614,583
