partial,f,sigma,r2,fittedFrameCount
1,261.09,0.464441,0.938172,831
2,523.526,0.439484,0.873325,836
3,785.962,0.321411,0.684905,841
4,1048.4,0.525111,0.937731,829
5,1312.18,0.295296,0.614425,839
6,1578.65,0.624612,0.971039,817
7,1845.13,0.4144,0.862372,823
8,2116.98,0.476471,0.876995,825
12,3215.18,0.721432,0.928343,855
14,3499.15,0.696372,0.946985,855
15,4073.81,0.872158,0.869728,559
16,4967.44,1.53308,0.918958,362
21,5272.94,1.77293,0.901254,317
22,5585.17,2.75501,0.877504,216
23,5901.44,3.48184,0.824725,202
24,6885.24,5.9035,0.861001,159
