partial,f,sigma,r2,fittedFrameCount
1,98.2452,0.198164,0.914471,1691
2,195.145,0.26706,0.93927,1687
3,293.39,0.177071,0.870292,1695
4,391.635,0.267548,0.824813,1694
5,489.88,0.17905,0.802679,1696
6,588.126,0.209462,0.89404,1695
7,686.371,0.12673,0.617206,1698
8,784.616,0.224623,0.911965,1500
9,884.207,0.227243,0.800093,1691
10,982.452,0.196705,0.665524,1513
11,1082.04,0.168108,0.678862,1698
13,1281.23,0.14767,0.615609,1690
14,1380.82,0.167354,0.631381,1532
15,1481.75,0.189996,0.777701,1681
16,1581.34,0.262035,0.956338,1673
17,1682.28,0.263775,0.918478,1594
18,1784.56,0.270634,0.866143,1353
19,1886.85,0.215855,0.692306,1594
20,1989.13,0.145631,0.646719,1693
21,2091.41,0.238246,0.863251,1671
22,2195.04,0.332058,0.792482,1184
23,2300.02,0.215363,0.689789,1319
30,2612.25,0.23713,0.718179,1387
31,2718.57,0.277381,0.601358,1201
32,3040.22,0.341547,0.878308,1383
35,3147.89,0.434794,0.87489,1132
36,3928.46,0.654174,0.908843,830
44,4042.86,0.648166,0.823112,719
45,4628.29,0.990165,0.878151,481
50,4990.32,1.10535,0.870782,469
53,5612.09,2.58826,0.884148,400
59,5867.8,2.29002,0.887404,485
61,6663.18,3.31219,0.915189,318
67,6799.11,1.73636,0.751286,536
68,7214.97,1.33238,0.638706,541
