partial,f,sigma,count,meanR2,meanFittedFrameCount
1,246.286,0.303056,3,0.753765,1011.33
2,493.918,0.248547,3,0.66897,1012.33
3,741.55,0.222809,4,0.628621,1015.75
4,989.182,0.336348,5,0.812685,1006.8
5,1238.43,0.374611,5,0.839338,1005
6,1489.83,0.418752,5,0.926695,992
7,1740.96,0.586395,5,0.956646,885.4
8,1998.55,0.721034,2,0.890323,619
12,3029.45,1.27393,5,0.945582,552.2
14,3401.44,1.03127,5,0.794119,795
15,3743.19,1.56551,3,0.906361,405.667
16,4667.32,2.54501,5,0.903075,288.8
21,5244.68,3.04033,3,0.922099,249.667
23,6448.3,4.85378,3,0.913894,160.333
27,7731.77,7.39537,1,0.929856,153
31,9112.58,10.7091,1,0.952317,100
