partial,f,sigma,r2
1,156.116,0.264055,0.574526
2,310.886,0.24325,0.596069
3,467.001,0.192513,0.603845
5,777.887,0.276539,0.679043
6,935.349,0.307871,0.692177
7,1091.46,0.359556,0.820698
8,1248.93,0.344179,0.822899
9,1407.73,0.401442,0.875841
10,1565.19,0.389424,0.87147
11,1725.35,0.662959,0.995159
12,1888.19,0.728897,0.918866
19,3096.74,1.09055,0.655815
21,3449.35,2.3732,0.89977
22,3609.5,1.92174,0.809847
27,4575.81,2.06758,0.867582
28,4772.3,1.90978,0.936072
29,4956.67,1.86597,0.967378
35,6224.44,3.77244,0.956145
38,6898.7,3.5962,0.935735
45,8606.55,5.00467,0.868599
52,10489.4,5.43009,0.765363
