partial,f,sigma,r2
1,184.378,0.317996,0.906122
2,370.102,0.178255,0.511501
3,554.48,0.303992,0.747037
4,740.204,0.288885,0.688361
5,925.928,0.343003,0.924483
6,1113,0.282646,0.803344
7,1300.07,0.413108,0.932942
8,1488.48,0.498925,0.920266
9,1678.24,0.52967,0.963749
10,1868.01,0.589988,0.942368
11,2057.77,0.689397,0.92981
12,2250.22,0.676714,0.954117
13,2444.02,0.789111,0.961469
14,2639.16,0.807158,0.937822
15,2838.35,0.905824,0.957895
16,3040.22,0.898358,0.937825
22,4309.33,0.958759,0.484308
28,5671.31,3.72881,0.899483
42,9334.64,5.44169,0.806737
43,9619.96,10.4445,0.937541
