partial,f,sigma,r2
1,65.9454,0.314498,0.939825
2,130.545,0.271053,0.906834
3,196.49,0.215074,0.88706
4,261.09,0.253485,0.846457
5,327.036,0.214802,0.836683
6,391.635,0.195528,0.783494
7,457.581,0.193966,0.812045
8,523.526,0.238328,0.547156
9,588.126,0.144623,0.598596
10,654.071,0.17182,0.575421
11,720.016,0.334776,0.952804
12,785.962,0.195778,0.699714
13,851.907,0.159288,0.634409
14,917.853,0.233262,0.699087
15,985.144,0.23021,0.755046
16,1051.09,0.335377,0.793694
17,1117.03,0.272574,0.773643
18,1184.33,0.26901,0.824486
19,1252.96,0.286424,0.811612
20,1321.6,0.307223,0.760238
27,1837.05,0.601843,0.917708
33,2283.87,0.583204,0.962311
34,2356.54,0.555605,0.953098
35,2426.52,0.562427,0.953068
36,2499.2,0.628935,0.962269
37,2570.53,0.636403,0.904911
38,2645.89,0.663861,0.959275
41,2908.33,0.937054,0.978108
45,3236.71,0.700294,0.967316
46,3313.42,0.97275,0.930117
47,3390.13,1.62388,0.924701
48,3469.54,0.890117,0.899244
50,3659.3,1.83378,0.834672
53,3936.54,1.22917,0.946154
54,4005.18,1.28245,0.936639
55,4100.73,1.05721,0.904329
56,4182.82,0.994524,0.96403
58,4392.77,1.54936,0.96429
60,4591.96,1.64529,0.894461
61,4679.43,1.97541,0.918579
62,4764.22,2.12033,0.873473
65,5068.38,1.95684,0.878381
67,5268.91,1.64004,0.964864
68,5373.88,2.64573,0.921924
69,5468.09,3.0009,0.914744
73,5917.59,3.19083,0.950552
74,6015.84,2.65792,0.931702
75,6147.73,2.84158,0.885308
78,6486.88,4.24882,0.970885
79,6589.16,4.12827,0.94083
80,6692.79,4.2802,0.924461
84,7179.98,5.17081,0.932737
85,7282.26,6.18009,0.968873
90,7906.72,3.86418,0.887563
