partial,f,sigma,r2
1,52.4872,0.24563,0.889956
2,103.629,0.321601,0.967182
3,154.77,0.269524,0.868514
4,207.257,0.233433,0.790002
7,363.373,0.195542,0.686595
8,414.514,0.167852,0.813298
9,467.001,0.279581,0.738151
10,519.489,0.192074,0.793786
11,570.63,0.21111,0.750005
12,623.117,0.244043,0.802635
13,675.604,0.255234,0.809175
14,728.091,0.256241,0.770131
15,781.924,0.201183,0.700529
16,834.412,0.257982,0.874944
17,886.899,0.192756,0.655693
18,939.386,0.255585,0.885455
19,993.219,0.289328,0.810325
20,1047.05,0.237684,0.848519
21,1102.23,0.333254,0.918072
22,1157.41,0.352239,0.981999
26,1403.7,0.683079,0.957069
27,1441.38,10.6683,0.940345
28,1510.02,0.72206,0.941869
29,1562.5,0.602366,0.937604
31,1697.09,0.442927,0.93878
32,1756.3,0.526018,0.980632
33,1812.83,0.488102,0.941899
34,1869.35,0.471332,0.962442
35,1925.88,0.520135,0.961891
36,1981.05,0.579846,0.975478
37,2040.27,0.532024,0.993353
38,2098.14,0.618044,0.972768
39,2161.4,0.748575,0.878779
41,2305.4,0.791717,0.986461
42,2359.23,0.824657,0.979582
43,2444.02,0.838153,0.998953
44,2508.62,0.771999,0.992183
45,2565.14,0.810539,0.986491
46,2625.71,0.873318,0.936743
47,2686.27,1.03117,0.994381
48,2752.21,0.873351,0.991512
52,3056.37,1.16605,0.927699
53,3120.97,1.24554,0.976792
54,3184.22,1.43863,0.934232
55,3247.48,1.59122,0.885862
56,3321.5,1.1798,0.957422
59,3569.13,1.52074,0.985786
60,3639.11,1.49008,0.946762
61,3717.17,1.43893,0.97762
62,3772.35,1.55864,0.949945
63,3854.44,2.20032,0.912226
64,3959.42,2.40122,0.940045
65,4018.63,2.24952,0.906268
66,4116.88,1.95824,0.946144
67,4185.52,2.13558,0.970222
68,4255.5,1.91327,0.979206
69,4345.67,2.51041,0.971214
72,4614.83,2.27325,0.975918
73,4705,2.73545,0.896841
74,4766.91,3.23527,0.939017
75,4859.77,2.99012,0.976936
76,4951.29,3.28378,0.969933
77,5045.5,4.18702,0.923474
78,5138.36,4.06922,0.949201
79,5215.07,4.3168,0.918272
80,5322.74,4.12818,0.917384
81,5400.8,3.04265,0.948536
83,5606.71,4.04378,0.905983
84,5687.46,3.5111,0.939862
85,5803.2,4.04497,0.900059
86,5885.29,4.43826,0.902921
87,5970.08,4.89501,0.91486
88,6093.9,4.95785,0.970125
89,6177.34,4.85879,0.886722
91,6389.98,5.80312,0.946357
92,6482.84,3.75386,0.949454
93,6602.62,6.27593,0.921764
94,6687.41,7.43816,0.943887
