partial,f,sigma,r2
1,57.8705,0.264857,0.811396
2,117.087,0.231448,0.841834
3,174.957,0.332622,0.875675
4,232.828,0.207857,0.833967
5,290.698,0.265728,0.868819
6,348.569,0.142312,0.511467
7,407.785,0.272189,0.875649
8,465.656,0.159799,0.672969
10,582.742,0.145262,0.552211
11,640.613,0.156639,0.662077
12,699.829,0.210457,0.635424
13,757.7,0.176935,0.65001
14,816.916,0.225292,0.775954
15,876.132,0.160821,0.524691
16,935.349,0.237584,0.831705
17,994.565,0.214828,0.786695
18,1053.78,0.238146,0.751358
19,1114.34,0.282832,0.800986
20,1176.25,0.327245,0.917859
26,1575.96,0.525803,0.915471
27,1635.18,0.426009,0.86824
28,1693.05,0.504132,0.935058
29,1752.26,0.547365,0.956038
30,1837.05,0.393957,0.921668
31,1898.96,0.405084,0.920917
32,1960.87,0.431756,0.948913
33,2022.78,0.440762,0.960258
34,2084.68,0.459696,0.972961
35,2149.28,0.46785,0.939071
36,2225.99,0.55901,0.924971
37,2302.71,7.57648,0.997238
40,2523.42,0.607772,0.928769
41,2592.06,0.6052,0.945982
42,2658,0.589086,0.980186
43,2721.26,0.624162,0.957467
44,2788.55,0.608365,0.969175
48,3115.59,0.68327,0.978366
49,3184.22,0.737275,0.98973
50,3251.51,0.758207,0.97186
51,3322.84,0.940648,0.919988
52,3429.16,0.832314,0.94767
53,3489.72,0.821377,0.970484
54,3589.32,1.11813,0.970918
55,3664.68,0.81802,0.97046
56,3734.67,0.939282,0.980442
57,3832.91,1.29077,0.988441
60,4089.96,1.24878,0.841097
61,4162.64,1.08591,0.933764
62,4240.7,1.26357,0.893758
64,4419.69,1.78002,0.889101
65,4530.05,1.28348,0.964251
66,4600.03,1.88533,0.982113
67,4687.51,1.62893,0.908532
69,4900.15,1.79311,0.933242
70,4979.55,2.02978,0.975624
71,5071.07,1.933,0.963841
72,5184.12,1.20256,0.791735
74,5372.53,2.66613,0.923056
75,5447.9,2.43632,0.850096
76,5548.84,2.72492,0.901414
78,5773.59,3.29792,0.944949
79,5855.69,3.28055,0.925473
80,5959.31,2.55437,0.970452
83,6274.24,3.76109,0.929995
84,6381.9,3.98614,0.915175
87,6703.56,2.59106,0.775082
88,6819.3,3.44713,0.944575
90,7070.97,4.08386,0.881999
91,7177.29,1.53696,0.662031
94,7528.55,4.14819,0.854633
