partial,f,sigma,r2
1,165.536,0.267555,0.850371
2,329.727,0.395341,0.877183
3,493.918,0.32475,0.801478
4,659.454,0.358043,0.705369
5,824.991,0.283439,0.716187
6,990.527,0.343869,0.862465
7,1157.41,0.215202,0.573475
8,1324.29,0.492831,0.901469
9,1491.17,0.36909,0.863471
10,1660.75,0.378621,0.859451
11,1828.98,0.399259,0.91481
12,2001.24,0.428449,0.92569
13,2174.85,0.475101,0.92443
22,3827.53,0.6997,0.491581
28,5032.04,4.25185,0.877306
30,5488.28,2.15249,0.96839
31,5690.15,2.51812,0.968979
32,5896.06,3.4014,0.87173
38,7298.41,6.0108,0.895239
42,8306.43,5.37319,0.894548
50,10523,7.06576,0.845712
