partial,f,sigma,r2
1,45.7581,0.251724,0.956324
2,91.5161,0.239238,0.916167
3,138.62,0.212764,0.878351
4,184.378,0.273227,0.844402
5,230.136,0.17004,0.700367
6,277.24,0.314343,0.948948
7,322.998,0.191381,0.579961
8,370.102,0.176649,0.585858
9,415.86,0.195169,0.84185
10,462.964,0.216971,0.785006
11,508.722,0.159402,0.676135
12,555.826,0.234371,0.808027
13,601.584,0.22692,0.705445
14,648.688,0.320171,0.847992
15,695.792,0.153827,0.577116
16,742.896,0.189434,0.619411
17,789.999,0.21679,0.754662
18,837.103,0.255689,0.843788
19,885.553,0.223669,0.711727
20,932.657,0.330007,0.87267
21,981.107,0.392563,0.915263
22,1029.56,0.209658,0.684754
23,1079.35,0.324615,0.859167
25,1204.51,1.57465,0.893209
26,1251.62,0.94693,0.853314
27,1297.38,0.821948,0.912058
28,1344.48,0.681679,0.938405
29,1391.58,0.887108,0.954826
33,1619.03,0.641195,0.94303
34,1671.51,0.62208,0.949965
35,1722.66,0.52696,0.941102
36,1773.8,0.599246,0.951277
37,1824.94,0.547654,0.984703
38,1877.43,0.54996,0.928345
39,1929.91,0.581488,0.922886
40,1982.4,0.652628,0.962239
41,2056.42,0.80426,0.953723
42,2104.87,0.847696,0.963921
47,2414.41,0.913584,0.957749
48,2470.94,0.844256,0.991257
49,2526.11,0.921466,0.959987
50,2582.64,0.964073,0.95489
51,2640.51,0.917678,0.972077
52,2697.03,1.01981,0.962885
57,3048.29,1.24272,0.979928
58,3108.86,1.14985,0.964749
59,3166.73,1.26686,0.980254
60,3229.98,1.22445,0.98965
61,3290.54,1.188,0.981348
63,3443.97,1.42969,0.909664
65,3598.74,1.83857,0.914224
66,3666.03,1.43161,0.975922
67,3729.28,2.3174,0.934244
68,3793.88,1.73025,0.973086
69,3865.21,2.025,0.968944
70,3943.27,2.00672,0.992347
73,4193.59,2.17229,0.94432
74,4262.23,2.86902,0.943056
75,4336.25,2.57961,0.930099
76,4407.58,3.23704,0.97586
77,4499.09,2.40519,0.92916
80,4753.45,3.534,0.953674
81,4826.13,3.72858,0.944647
82,4906.88,2.90283,0.891454
83,4980.9,3.90437,0.910222
85,5162.59,3.40601,0.94543
86,5258.14,4.7472,0.959541
87,5348.31,5.42586,0.96645
88,5425.02,4.88144,0.956931
89,5513.85,5.73362,0.941933
90,5590.56,5.52539,0.947503
94,5976.81,3.18054,0.717736
