partial,f,sigma,r2
1,123.816,0.269611,0.88804
2,246.286,0.185578,0.533246
4,493.918,0.223093,0.770482
5,617.734,0.149361,0.558295
6,741.55,0.236935,0.757189
7,865.366,0.231265,0.706441
8,990.527,0.264555,0.795699
9,1114.34,0.236713,0.814874
10,1239.51,0.277549,0.896882
11,1366.01,0.3925,0.93261
12,1496.56,0.426323,0.816987
21,2730.68,0.85663,0.916672
24,3182.88,0.916858,0.966445
25,3320.15,0.930032,0.955804
26,3457.42,1.09205,0.97089
27,3617.58,1.40169,0.916853
32,4442.57,1.60972,0.956046
33,4591.96,1.82414,0.972005
34,4776.33,1.71592,0.822792
37,5299.86,2.45194,0.856224
38,5489.62,2.3732,0.951643
39,5645.74,2.53063,0.914216
44,6608,3.16595,0.889703
48,7451.83,4.39502,0.860527
50,7886.54,6.23596,0.950516
53,8520.42,7.29886,0.852219
