partial,f,sigma,r2
1,43.0664,0.313211,0.779149
2,87.4786,0.33403,0.978724
3,130.545,0.275582,0.965911
4,173.611,0.2925,0.903744
5,218.024,0.272992,0.805568
6,261.09,0.256386,0.961668
7,305.502,0.199184,0.629797
9,392.981,0.183769,0.690373
10,436.047,0.149649,0.531883
11,480.46,0.261792,0.856661
13,567.938,0.24554,0.752322
14,612.35,0.275509,0.942514
15,656.763,0.311141,0.816867
16,701.175,0.275796,0.892516
17,745.587,0.273439,0.884281
18,791.345,0.183851,0.690332
19,835.757,0.207432,0.721683
20,881.516,0.214547,0.720858
21,925.928,0.337183,0.901147
22,971.686,0.41983,0.84444
23,1018.79,0.328128,0.921637
24,1065.89,0.315989,0.862505
25,1135.88,0.864996,0.901541
26,1180.29,1.41735,0.89926
27,1224.7,1.16548,0.882085
28,1269.11,0.985518,0.893309
29,1314.87,0.971576,0.95115
34,1580,0.691602,0.970277
35,1629.79,0.65244,0.936289
36,1676.9,0.625054,0.955493
37,1729.39,0.624584,0.962592
38,1776.49,0.549429,0.967138
39,1827.63,0.685847,0.955383
40,1881.46,0.706003,0.944935
41,1927.22,0.652783,0.972288
42,1977.02,0.737873,0.97222
43,2030.85,0.65667,0.991751
49,2395.57,0.810631,0.912299
50,2449.4,0.8664,0.968757
51,2504.58,0.960097,0.948705
52,2558.41,1.02938,0.966679
53,2614.94,1.08789,0.935859
54,2667.43,1.1037,0.971585
60,3067.14,1.37252,0.969574
61,3126.35,1.44327,0.976705
62,3189.61,1.37191,0.852929
63,3244.78,1.912,0.964923
64,3309.38,1.37197,0.954509
65,3371.29,1.89114,0.955897
66,3454.73,1.83923,0.926149
67,3507.22,1.71796,0.910346
69,3652.57,1.50598,0.859007
70,3744.09,1.72124,0.979302
71,3808.69,2.23935,0.93944
72,3871.94,2.5918,0.978273
73,3937.88,2.77941,0.972415
74,4003.83,2.43049,0.94162
75,4107.46,2.9144,0.916592
76,4159.95,3.06683,0.92248
78,4332.21,2.64715,0.971803
79,4388.74,2.19692,0.993694
80,4476.21,3.34063,0.939453
81,4538.12,3.87425,0.959484
82,4616.18,3.8483,0.891636
84,4789.79,1.95858,0.770863
86,4966.09,4.33494,0.986989
87,5021.27,3.72275,0.92184
88,5122.21,4.50336,0.915578
89,5188.16,5.54797,0.975021
90,5272.94,4.22006,0.93155
94,5648.43,3.56383,0.957027
96,5801.85,3.91859,0.852918
