partial,f,sigma,r2
1,28.2623,0.230072,0.921548
2,57.8705,0.255402,0.956636
3,86.1328,0.203255,0.913196
4,115.741,0.196896,0.904988
5,145.349,0.181806,0.878535
7,203.22,0.12021,0.513433
8,232.828,0.155338,0.882512
9,261.09,0.152365,0.743617
10,290.698,0.142901,0.571108
11,320.306,0.128612,0.676847
12,351.26,0.126488,0.603913
13,380.869,0.185074,0.878848
14,410.477,0.164949,0.680105
15,440.085,0.20201,0.895367
16,471.039,0.183803,0.722486
17,501.993,0.175253,0.801863
18,532.947,0.228613,0.943415
19,563.901,0.205734,0.883913
20,594.855,0.291064,0.921929
21,625.809,0.25079,0.946065
22,658.109,0.25096,0.953497
23,690.408,0.252588,0.935255
24,721.362,0.235872,0.911442
25,755.008,0.258589,0.949997
26,787.308,0.273207,0.905916
27,820.953,0.306705,0.968123
28,854.599,0.310455,0.970603
29,888.245,0.374983,0.995572
30,921.89,0.338708,0.980367
31,955.536,0.368987,0.978179
32,990.527,0.478504,0.967999
34,1033.59,0.958345,0.998456
36,1126.46,0.968514,0.997032
37,1157.41,1.03881,0.999922
38,1189.71,1.08193,0.999942
39,1207.21,0.59394,0.975287
40,1244.89,0.745265,0.960673
41,1283.92,0.689711,0.979946
42,1321.6,0.749683,0.957834
43,1359.28,0.857644,0.959415
44,1398.31,0.834485,0.998165
45,1437.34,0.90026,0.988936
46,1477.72,1.12839,0.962977
47,1518.09,1.00001,0.960496
48,1559.81,1.00163,0.981934
49,1601.53,1.72614,0.994592
50,1640.56,1.3633,0.996583
51,1674.21,1.33798,0.999855
52,1707.85,1.34515,0.99996
53,1741.5,1.37855,0.999986
55,1816.86,1.50292,0.995507
56,1859.93,1.61443,0.96302
57,1904.34,1.97529,0.978365
58,1950.1,1.74213,0.930932
59,1995.86,1.65439,0.96642
60,2042.96,1.92082,0.975358
61,2088.72,2.47012,0.992156
62,2135.82,1.96816,0.974123
63,2158.7,1.64344,0.996314
66,2304.05,1.71391,0.997787
67,2340.39,1.76015,0.999067
68,2382.11,2.30787,0.974704
69,2433.25,2.31556,0.991916
70,2489.78,1.7351,0.998906
71,2535.53,2.40949,0.967084
72,2589.37,2.86129,0.998054
73,2643.2,2.86745,0.996274
74,2694.34,2.77535,0.998367
75,2718.57,1.921,0.998412
76,2793.93,2.46714,0.966204
77,2837,1.93846,0.998621
78,2877.37,1.93596,0.997046
80,2997.15,1.97747,0.997171
81,3030.8,4.0731,0.992485
82,3084.63,3.71463,0.99025
83,3146.54,4.10224,0.980053
84,3203.06,2.93999,0.950493
85,3263.63,4.35727,0.976085
87,3369.95,1.84492,0.808145
88,3413.01,4.1848,0.941161
89,3457.42,4.04023,0.932044
90,3540.87,3.71268,0.938921
91,3573.17,5.35086,0.97922
92,3631.04,4.07214,0.978446
93,3696.98,5.58684,0.935155
94,3764.27,4.80438,0.963972
95,3808.69,4.93845,0.977725
96,3892.13,5.65952,0.982491
