partial,f,sigma,r2
1,40.3748,0.199628,0.924439
2,82.0953,0.173124,0.863607
3,122.47,0.177704,0.856605
4,164.191,0.217437,0.939772
5,205.911,0.119997,0.559125
6,246.286,0.143027,0.743553
7,288.007,0.139884,0.649641
8,328.381,0.159641,0.809937
9,370.102,0.17892,0.867673
11,453.543,0.137926,0.682558
12,495.264,0.178451,0.845512
13,536.984,0.216825,0.900024
14,578.705,0.192454,0.676536
15,620.425,0.223766,0.895657
16,662.146,0.187819,0.736656
17,705.212,0.210518,0.917479
18,746.933,0.207168,0.884271
19,789.999,0.280938,0.970047
20,833.066,0.267379,0.923898
21,876.132,0.276131,0.95169
22,919.199,0.312629,0.975525
23,962.265,0.320182,0.960449
24,1005.33,0.350044,0.94992
25,1049.74,0.360373,0.990227
26,1094.16,0.364792,0.974663
27,1156.06,1.64122,0.996931
28,1199.13,1.07939,0.999292
29,1240.85,1.04332,0.996681
30,1283.92,1.07733,0.996979
37,1637.87,0.724366,0.931032
38,1687.66,0.84841,0.986984
39,1733.42,0.757561,0.890032
40,1783.22,0.786271,0.97378
41,1831.67,0.784467,0.949258
42,1880.12,0.948011,0.999906
43,1929.91,0.858511,0.963465
44,1979.71,0.880405,0.999896
45,2028.16,0.921193,0.995029
46,2079.3,0.985445,0.989061
47,2130.44,1.15137,0.994828
48,2181.58,1.06271,0.987489
50,2310.78,2.93753,0.987374
51,2363.27,1.3976,0.999622
52,2407.68,1.33611,0.99997
54,2542.26,1.22307,0.999584
55,2588.02,1.23508,0.998749
56,2658,1.39814,0.981777
57,2713.18,1.39992,0.975265
58,2769.71,1.29357,0.977497
59,2826.23,1.41957,0.972334
60,2889.49,2.5621,0.976409
61,2939.28,1.41957,0.97027
62,2995.81,1.54982,0.967483
63,3055.02,1.77205,0.914592
64,3138.46,1.63103,0.943344
65,3185.57,1.69163,0.934462
67,3328.23,1.94877,0.904751
68,3375.33,1.88887,0.916668
69,3466.85,2.08931,0.934454
70,3534.14,2.01492,0.946244
71,3597.39,2.2097,0.994537
72,3661.99,2.23797,0.940081
73,3722.55,2.30264,0.965526
74,3787.15,3.05158,0.937757
75,3851.75,2.51059,0.941085
76,3919.04,2.91043,0.984022
77,4007.87,3.41423,0.964688
82,4384.7,3.36859,0.957599
83,4454.68,3.61823,0.937295
84,4523.32,4.00647,0.926126
85,4597.34,4.97898,0.937984
86,4668.67,3.83848,0.911067
87,4740,3.82453,0.878166
94,5330.81,6.50504,0.947355
95,5406.18,6.88447,0.93799
96,5484.24,7.71091,0.936647
