partial,f,sigma,r2
1,103.629,0.253112,0.656796
2,207.257,0.24159,0.847277
3,310.886,0.160045,0.641058
4,414.514,0.213228,0.815518
5,519.489,0.218068,0.805429
6,623.117,0.251417,0.733009
7,728.091,0.240649,0.758918
8,831.72,0.252549,0.785657
9,936.694,0.224617,0.655537
10,1041.67,0.286429,0.869373
11,1146.64,0.225288,0.812385
12,1251.62,0.329911,0.909145
13,1357.94,0.370518,0.903919
14,1464.26,0.388341,0.944235
15,1570.58,0.442162,0.939002
16,1676.9,0.459259,0.790603
17,1784.56,0.476886,0.948714
18,1892.23,0.479202,0.934093
19,2001.24,0.441014,0.934824
20,2110.25,0.512286,0.810926
21,2217.92,0.629496,0.915002
22,2328.28,0.565105,0.94219
23,2439.98,0.586046,0.964091
24,2550.34,0.676842,0.925157
25,2662.04,0.573814,0.944259
26,2776.44,0.85177,0.952132
27,2890.83,0.862369,0.905882
28,3005.23,0.89388,0.939128
29,3141.16,1.72174,0.924972
30,3240.75,0.919714,0.887703
31,3356.49,0.662463,0.685751
43,4846.32,4.85578,0.936849
44,4990.32,1.32118,0.720186
53,6229.82,3.53395,0.94387
57,6808.53,1.60194,0.742839
58,6978.1,4.18684,0.918746
59,7126.14,3.35376,0.883359
60,7272.84,4.68269,0.919477
61,7427.61,5.27748,0.948297
62,7578.34,5.46147,0.917361
63,7723.69,5.52624,0.930511
65,8037.27,4.11172,0.899001
66,8193.38,5.90303,0.926654
