partial,f,sigma,r2
1,207.257,0.252722,0.573371
2,415.86,0.293395,0.693041
3,623.117,0.287354,0.8294
4,831.72,0.349543,0.856205
5,1040.32,0.36407,0.812785
6,1250.27,0.378273,0.838572
7,1461.57,0.505294,0.874641
8,1674.21,0.562757,0.964688
9,1886.85,0.598263,0.946057
10,2100.83,0.630793,0.918263
11,2317.51,0.70618,0.951742
12,2535.53,0.946498,0.985911
13,2756.25,0.979679,0.949846
14,2978.31,1.00647,0.95941
15,3203.06,1.07073,0.970562
16,3427.82,1.49775,0.959601
17,3657.95,1.25603,0.880553
18,3889.43,1.5515,0.97283
19,4123.61,1.43936,0.964736
20,4360.47,1.94019,0.975193
21,4600.03,2.31076,0.974848
22,4844.97,2.38536,0.985408
23,5092.6,2.24149,0.987338
24,5340.23,2.36949,0.968812
25,5595.94,3.55143,0.844178
26,5852.99,3.03251,0.954713
27,6111.39,3.7531,0.963181
28,6375.17,3.31584,0.946171
29,6640.3,5.05012,0.954615
30,6912.16,5.33552,0.986985
