partial,f,sigma,r2
1,370.102,0.470265,0.79277
2,740.204,0.506054,0.852516
3,1111.65,0.406888,0.72666
4,1487.14,0.465116,0.854766
5,1862.62,0.568177,0.945869
6,2242.14,0.585538,0.960167
7,2627.05,0.775544,0.961254
8,3015.99,1.13151,0.974104
9,3410.32,1.4896,0.972265
10,3811.38,2.04154,0.949984
11,4217.82,1.78715,0.956411
12,4630.98,2.61041,0.967402
13,5054.92,4.01482,0.948375
14,5482.89,3.59197,0.93512
15,5925.67,4.57247,0.913231
16,6372.48,4.58755,0.916656
18,7294.37,6.21991,0.910169
19,7768.1,10.0117,0.98222
