partial,f,sigma,r2
1,36.3373,0.223684,0.926074
2,72.6746,0.182889,0.871789
3,109.012,0.156381,0.73347
4,146.695,0.152428,0.79639
6,219.37,0.16456,0.759002
7,255.707,0.157044,0.812217
8,293.39,0.194376,0.918425
9,329.727,0.115935,0.633554
10,366.064,0.151394,0.744132
11,403.748,0.166349,0.697857
12,440.085,0.187395,0.734273
13,477.768,0.234367,0.94526
14,515.451,0.203591,0.930453
15,551.788,0.170562,0.765882
16,589.471,0.186236,0.806792
17,627.155,0.246038,0.941577
18,664.838,0.232592,0.897539
19,702.521,0.211496,0.80631
20,740.204,0.204514,0.889627
21,777.887,0.216368,0.889819
22,816.916,0.234992,0.932681
23,854.599,0.253154,0.936094
24,893.628,0.294783,0.957349
25,934.003,0.324674,0.952716
27,1028.21,1.32857,0.945416
28,1067.24,0.922047,0.998933
29,1103.58,0.923524,0.994085
34,1331.02,0.48838,0.980296
35,1371.4,0.517879,0.987625
36,1413.12,0.575922,0.984412
37,1454.84,0.599335,0.960726
38,1496.56,0.572482,0.996162
39,1538.28,0.641906,0.945205
40,1581.34,0.873217,0.942121
41,1624.41,0.707691,0.957768
42,1667.48,0.701135,0.974514
43,1710.54,0.759213,0.992654
44,1753.61,0.854845,0.931037
45,1799.37,0.915142,0.926641
50,2055.08,3.06075,0.980358
51,2112.95,1.04554,0.982361
52,2161.4,1.12834,0.956641
53,2207.15,1.06864,0.969922
54,2254.26,1.20596,0.938423
55,2302.71,1.23342,0.957572
56,2349.81,1.11617,0.983628
57,2398.26,1.2352,0.982449
58,2448.06,1.24954,0.993067
60,2570.53,1.48042,0.989473
63,2744.14,1.23297,0.999542
64,2785.86,1.2236,0.998902
65,2850.46,1.50787,0.986394
66,2902.94,1.50776,0.982635
67,2955.43,1.91264,0.999741
68,3010.61,1.86689,0.991825
69,3085.98,1.99054,0.997514
71,3205.76,2.21504,0.944861
72,3248.82,2.39359,0.936982
74,3392.83,2.27144,0.958272
75,3450.7,2.25746,0.965973
76,3505.87,2.27219,0.971388
77,3562.4,2.87439,0.964459
78,3620.27,3.50917,0.958478
79,3682.18,2.99833,0.943534
80,3773.69,2.1033,0.880867
83,3954.03,2.41915,0.878911
84,4038.82,3.28918,0.959901
85,4099.38,3.71175,0.91835
86,4161.29,4.50357,0.934226
87,4225.89,4.24309,0.907768
88,4287.8,4.15175,0.936814
93,4676.74,4.94912,0.911589
94,4745.38,6.33723,0.938838
95,4812.67,6.07599,0.936526
96,4875.92,6.479,0.978304
