partial,f,sigma,r2
1,78.0579,0.33312,0.908006
2,154.77,0.210333,0.6864
3,232.828,0.215794,0.836368
4,310.886,0.180841,0.655186
5,388.943,0.178948,0.520965
6,467.001,0.162398,0.694263
7,545.059,0.28995,0.881651
8,623.117,0.234974,0.78586
10,779.233,0.223018,0.747898
11,857.291,0.24544,0.783739
12,936.694,0.240975,0.825083
13,1014.75,0.280632,0.869842
14,1094.16,0.28546,0.800087
15,1173.56,0.394218,0.958971
16,1252.96,0.344268,0.873922
17,1332.37,0.610847,0.915057
18,1411.77,0.319119,0.899216
19,1492.52,0.358767,0.936103
20,1574.62,0.329511,0.886846
27,2186.97,0.714816,0.920374
29,2345.77,1.21708,0.933011
36,2987.73,0.643495,0.963186
37,3077.9,0.609845,0.989683
38,3162.69,0.616923,0.972426
39,3252.86,0.703315,0.984736
40,3338.99,0.81836,0.922793
41,3433.2,0.890595,0.922782
42,3547.6,1.59145,0.921959
43,3628.34,1.35323,0.936204
49,4256.85,1.11953,0.970715
50,4352.4,1.69696,0.866845
51,4447.95,1.34232,0.967549
52,4548.89,1.33257,0.941575
54,4783.06,1.45925,0.807739
55,4867.85,2.44904,0.948106
58,5229.88,2.44109,0.945539
59,5338.89,2.52521,0.93245
60,5437.13,3.11901,0.955232
61,5551.53,2.13868,0.944406
62,5657.85,3.37425,0.920043
66,6150.42,1.90779,0.908672
67,6282.31,3.40272,0.965407
68,6391.32,3.50993,0.949684
69,6508.41,4.24814,0.949327
70,6629.54,3.09029,0.867635
74,7177.29,5.26668,0.919131
77,7564.88,5.86693,0.936581
82,8262.02,6.31008,0.941228
89,9280.81,3.95295,0.722286
