partial,f,sigma,r2
1,174.957,0.279377,0.800638
2,348.569,0.286804,0.806399
3,523.526,0.231648,0.625007
4,698.483,0.330053,0.853461
5,874.786,0.205306,0.528902
6,1049.74,0.360207,0.872137
7,1227.39,0.384948,0.907951
8,1403.7,0.38513,0.845183
9,1581.34,0.390583,0.876699
10,1760.34,0.459843,0.940002
11,1940.68,0.569805,0.88475
12,2121.02,0.544693,0.905294
13,2304.05,0.645283,0.93214
14,2489.78,0.739768,0.897956
27,5127.59,11.3482,0.953976
28,5340.23,2.01612,0.727832
34,6753.35,3.68799,0.910987
35,6984.83,4.11712,0.913222
36,7214.97,4.06665,0.911888
