partial,f,sigma,r2
1,87.4786,0.295222,0.858766
2,174.957,0.262417,0.665772
3,261.09,0.20379,0.765422
4,348.569,0.275259,0.637416
5,436.047,0.201448,0.766838
7,611.005,0.20402,0.738279
8,699.829,0.159162,0.64802
9,787.308,0.223561,0.69714
10,874.786,0.226611,0.746242
11,963.611,0.240306,0.767798
12,1051.09,0.337525,0.799064
13,1139.91,0.294953,0.706648
14,1228.74,0.268797,0.734869
15,1317.56,0.306108,0.861765
16,1407.73,0.446276,0.877034
17,1496.56,0.337367,0.911977
18,1586.73,0.355756,0.912487
19,1678.24,0.413221,0.907519
20,1768.41,0.606883,0.89282
21,1861.28,0.371444,0.906535
28,2546.3,0.675683,0.904439
29,2635.13,0.703134,0.880633
36,3353.8,1.27857,0.936852
37,3445.31,0.897188,0.574488
39,3668.72,1.07011,0.912341
40,3773.69,1.62751,0.830862
41,3875.98,1.49929,0.951524
42,3979.6,1.54316,0.953043
43,4080.54,1.34774,0.950177
44,4184.17,1.20183,0.938909
45,4293.18,1.2896,0.935108
48,4636.37,1.33646,0.836233
55,5490.97,3.45686,0.927309
56,5606.71,3.57836,0.918163
57,5723.79,2.18807,0.929955
58,5839.54,2.84717,0.893497
66,6918.89,4.73509,0.953879
67,7050.78,5.11635,0.916189
68,7173.25,3.8748,0.900939
69,7306.48,4.81653,0.901558
76,8353.54,5.61918,0.914628
77,8500.23,6.40701,0.889263
78,8630.78,6.9355,0.928469
86,9914.69,8.50426,0.964791
88,10226.9,8.21151,0.936334
