partial,f,sigma,r2
1,138.62,0.307467,0.716418
2,277.24,0.352812,0.845673
4,554.48,0.266796,0.702978
5,693.1,0.249965,0.661761
6,833.066,0.31955,0.76752
7,973.032,0.38262,0.924719
8,1111.65,0.325903,0.845249
9,1252.96,0.353157,0.844918
10,1392.93,0.407715,0.923878
11,1535.59,0.39735,0.88845
12,1680.94,0.389794,0.844142
21,3069.83,1.08358,0.871594
26,3910.97,1.00159,0.951747
27,4071.12,1.35026,0.961509
28,4228.58,1.18932,0.965871
35,5559.6,2.47166,0.973902
36,5733.22,2.25242,0.961886
38,6130.23,3.44587,0.912981
42,7005.02,3.52978,0.934946
43,7194.78,3.87468,0.90917
48,8367,6.61343,0.952046
49,8571.56,5.88168,0.962543
54,9850.09,10.3431,0.911313
