partial,f,sigma,r2
1,48.4497,0.26006,0.789742
2,98.2452,0.246264,0.769052
3,146.695,0.25992,0.917974
4,195.145,0.217298,0.858456
5,244.94,0.235514,0.831283
7,341.84,0.229643,0.813632
8,391.635,0.247775,0.935083
9,441.431,0.157678,0.735481
10,489.88,0.337839,0.890719
11,539.676,0.150102,0.665387
12,588.126,0.251701,0.70214
13,637.921,0.251703,0.80941
14,687.717,0.226435,0.928583
15,737.512,0.203064,0.756045
16,787.308,0.228432,0.812916
17,837.103,0.20328,0.630794
18,886.899,0.24514,0.759692
19,938.04,0.293223,0.76209
20,987.836,0.316369,0.836583
21,1038.98,0.25067,0.793546
22,1091.46,0.274528,0.830018
23,1143.95,0.270816,0.789741
25,1274.5,0.859807,0.871285
26,1325.64,0.864075,0.82593
27,1375.43,0.707684,0.911461
28,1425.23,0.77254,0.876303
29,1475.02,0.628567,0.831702
30,1524.82,0.833738,0.881602
32,1658.06,0.49825,0.970549
33,1713.24,0.474847,0.931021
34,1767.07,0.554728,0.936825
35,1819.56,0.515674,0.940855
36,1874.73,0.546447,0.992403
37,1928.57,0.589597,0.936279
38,1983.75,0.5013,0.978004
39,2040.27,0.513805,0.953186
41,2177.55,0.828295,0.944607
42,2228.69,0.716026,0.944507
43,2279.83,0.705554,0.944728
45,2431.91,0.796204,0.949559
46,2489.78,0.778776,0.960254
47,2548.99,0.844963,0.947175
48,2605.52,0.919807,0.976636
49,2666.08,0.912935,0.991197
50,2725.3,1.06884,0.956999
51,2793.93,0.801445,0.963325
54,3002.54,1.10944,0.949465
55,3084.63,1.27672,0.959255
56,3149.23,1.22048,0.970536
57,3207.1,1.20625,0.973162
58,3273.05,1.25253,0.973405
59,3363.22,1.31363,0.975611
60,3426.47,1.56623,0.927977
62,3587.97,1.52456,0.95572
63,3659.3,1.49845,0.98775
64,3719.86,1.8535,0.911807
65,3803.3,1.49941,0.967008
66,3859.83,1.53764,0.969478
67,3966.15,1.82843,0.901654
68,4033.44,2.09196,0.973817
70,4197.63,2.6825,0.922462
71,4260.88,2.49817,0.962949
72,4337.59,2.56838,0.89866
74,4523.32,2.88308,0.902031
75,4578.5,2.90277,0.877105
76,4687.51,2.84447,0.969736
77,4760.18,3.01931,0.957465
78,4834.2,3.14439,0.908015
79,4918.99,4.01407,0.976096
82,5208.34,4.75138,0.969882
83,5295.82,3.50011,0.921801
84,5379.26,4.96188,0.965026
85,5450.59,3.4762,0.941978
88,5756.09,4.15956,0.917132
89,5848.96,5.22828,0.901494
90,5916.25,5.39451,0.948727
91,6013.15,4.78719,0.952106
94,6329.42,7.33969,0.958428
95,6414.2,7.11468,0.948412
96,6516.49,6.56654,0.895468
