partial,f,sigma,r2
1,92.8619,0.33506,0.858675
2,184.378,0.215167,0.634861
3,277.24,0.177987,0.634787
4,370.102,0.242345,0.758781
6,554.48,0.206027,0.685645
7,647.342,0.191319,0.596127
9,834.412,0.240093,0.751766
10,927.274,0.240778,0.800652
11,1021.48,0.265913,0.810683
12,1114.34,0.31411,0.883566
13,1208.55,0.249953,0.820049
14,1302.76,0.293269,0.781392
15,1396.97,0.420377,0.914903
16,1492.52,0.42396,0.873076
17,1586.73,0.439804,0.859803
18,1682.28,0.519493,0.927078
19,1779.18,0.445378,0.901529
20,1874.73,0.469784,0.916924
21,1972.98,0.534669,0.858535
22,2071.23,0.587309,0.963958
23,2170.82,0.635394,0.874396
28,2699.73,0.84314,0.954063
29,2793.93,1.14976,0.853133
43,4344.32,1.37743,0.967847
44,4458.72,1.43122,0.963594
45,4570.42,1.47852,0.975261
46,4683.47,1.52803,0.964438
47,4799.21,1.88214,0.877188
48,4921.68,2.34907,0.899347
49,5032.04,1.91951,0.938754
52,5420.98,2.10053,0.867471
61,6616.08,2.90667,0.936613
62,6749.31,4.45223,0.898025
63,6877.17,3.08768,0.883574
64,7011.75,3.39124,0.879468
65,7173.25,1.47457,0.688285
74,8532.53,7.72192,0.902923
75,8669.81,5.4167,0.89965
76,8817.85,7.09314,0.915149
77,8972.62,5.27119,0.850319
