partial,f,sigma,r2
1,146.695,0.351963,0.803302
3,440.085,0.196239,0.662196
4,586.78,0.205852,0.50329
5,734.821,0.247229,0.70384
6,882.861,0.378384,0.898012
7,1030.9,0.392147,0.887713
8,1178.94,0.418934,0.862665
9,1328.33,0.431743,0.897722
10,1479.06,0.406781,0.832575
11,1627.1,0.40967,0.870932
12,1781.87,0.455822,0.901776
21,3255.55,1.84896,0.826823
22,3406.28,1.88715,0.841797
27,4318.75,1.16341,0.757618
28,4504.48,1.86289,0.951466
29,4678.09,1.72306,0.956267
35,5875.87,2.78077,0.862438
38,6511.1,3.05867,0.929316
41,7162.48,4.33918,0.908097
45,8123.4,6.72944,0.947292
46,8336.04,6.49246,0.950798
