frame,time_sec,midi,velocity,F,dy,v_in,dv,sigma,sample
0,0.000000000000,69,80.000000000000,702.802439235434,0.002363482757,154.687812250677,48.459179204915,0.316001814079,0.000000000000
1,0.000022675737,69,80.000000000000,677.140177545479,0.002296863651,149.569594733326,41.658542552655,0.311516434972,0.000000000000
2,0.000045351474,69,80.000000000000,654.118829597993,0.002224973876,144.625385892828,33.371802662604,0.306602586842,0.000000000000
3,0.000068027211,69,80.000000000000,633.130637999698,0.002153119103,139.839817956322,24.906432128146,0.301611143856,0.000000000000
4,0.000090702948,69,80.000000000000,613.593353025121,0.002085591222,135.201924131491,17.229683244865,0.296843778999,0.000000000000
5,0.000113378685,69,80.000000000000,594.992440733660,0.002025320660,130.704626771448,10.942369033187,0.292523157861,0.000000000000
6,0.000136054422,69,80.000000000000,576.916672004885,0.001973525077,126.343956537096,6.273182019268,0.288758436235,0.000000000000
7,0.000158730159,69,80.000000000000,559.107113606948,0.001929754809,122.117901256620,3.126173886340,0.285538334843,0.000000000000
8,0.000181405896,69,80.000000000000,541.470998090778,0.001892447492,118.025149948299,1.196981047702,0.282764754798,0.000000000000
9,0.000204081633,69,80.000000000000,524.041649552488,0.001859696682,114.064139747600,0.115301732104,0.280307304265,0.000000000000
10,0.000226757370,69,80.000000000000,506.911351624509,0.001829844296,110.232610256863,-0.445691077790,0.278048415773,0.000000000000
11,0.000249433107,69,80.000000000000,490.174143726096,0.001801728181,106.527590274051,-0.720464731975,0.275903997143,0.000000000000
12,0.000272108844,69,80.000000000000,473.896449118817,0.001774657750,102.945606531656,-0.852063730832,0.273823464906,0.000000000000
13,0.000294784580,69,80.000000000000,458.112371959007,0.001748273854,99.482927983213,-0.916642526733,0.271780371482,0.000000000000
14,0.000317460317,69,80.000000000000,442.831570320968,0.001722407725,96.135750580938,-0.950367934355,0.269762351686,0.000000000000
15,0.000340136054,69,80.000000000000,428.049373869187,0.001696984034,92.900305578148,-0.969026364130,0.267764029402,0.000000000000
